name,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus,standing_loss,capital_cost,p_nom_extendable,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,build_year,p_nom_opt
Dinorwig,1741.158621,Pumped Storage Hydroelectric,0.0,15.27595414,0.865,0.865,26597.85925,Deeside,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,0,1741.158621
Ffestiniog,362.7413793,Pumped Storage Hydroelectric,0.0,11.28146329,0.85,0.85,4092.253553,Deeside,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,0,362.7413793
Cruachan,1959.783784,Pumped Storage Hydroelectric,0.0,46.80835474,0.865,0.865,91734.25457,Errochty,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,0,1959.783784
Foyers,1336.216216,Pumped Storage Hydroelectric,0.0,60.91816123,0.865,0.865,81399.8349,Beauly,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,0,1336.216216
Beauly Battery,429.3916089,Battery,0.0,1.74142583,0.95,0.95,747.7536391,Beauly,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,0,429.3916089
Peterhead Battery,429.3916089,Battery,0.0,1.74142583,0.95,0.95,747.7536391,Peterhead,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,0,429.3916089
Errochty Battery,429.3916089,Battery,0.0,1.74142583,0.95,0.95,747.7536391,Errochty,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,0,429.3916089
Denny/Bonnybridge Battery,429.3916089,Battery,0.0,1.74142583,0.95,0.95,747.7536391,Denny/Bonnybridge,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,0,429.3916089
Neilston Battery,429.3916089,Battery,0.0,1.74142583,0.95,0.95,747.7536391,Neilston,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,0,429.3916089
Strathaven Battery,429.3916089,Battery,0.0,1.74142583,0.95,0.95,747.7536391,Strathaven,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,0,429.3916089
