,heat pump Beauly,heat pump Peterhead,heat pump Neilston,heat pump Walpole
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,-1.0,0.0,0.0,0.0
7,-1.0,0.0,0.0,0.0
8,-1.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,-1.0,0.0,0.0,0.0
12,-1.0,0.0,0.0,0.0
13,-1.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,-1.0,0.0,0.0,0.0
17,-1.0,0.0,0.0,0.0
18,-1.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0
54,0.0,-1.0000000000334255,0.0,0.0
55,-1.0,-1.0000000000314662,0.0,0.0
56,-1.0,0.0,0.0,0.0
57,-1.0,0.0,0.0,0.0
58,-1.0,0.0,0.0,0.0
59,-1.0,0.0,0.0,0.0
60,-1.0,0.0,0.0,0.0
61,-1.0,0.0,0.0,0.0
62,-1.0,0.0,0.0,0.0
63,-1.0,0.0,0.0,0.0
64,-1.0,0.0,-0.8999999999999986,0.0
65,-1.0,-1.0000000000854528,0.0,0.0
66,-1.0,-1.0000000000945803,0.0,0.0
67,-1.0,-1.0000000001042733,0.0,0.0
68,-1.0,-1.0000000001163125,0.0,0.0
69,-1.0,0.0,0.0,0.0
70,-1.0,-1.000000000143036,0.0,0.0
71,-1.0,-1.000000000158929,0.0,0.0
