,carrier,type,p_nom,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
Stornoway,Oil,Diesel/Gas oil,29.44,Beauly,,1,1,1
Tiree,Oil,Diesel/Gas oil,3.2,Neilston,,1,1,1
Indian Queens,Oil,Diesel/Gas oil,179.2,S.W.Penisula,,1,1,1
Grain (OCGT),Oil,Diesel/Gas oil,64,Kemsley,,1,1,1
Ratcliffe GT,Oil,Diesel/Gas oil,43.52,Ratcliffe,,1,1,1
Taylor's Lane GT,Oil,Diesel/Gas oil,184.32,Lovedean,,1,1,1
Ferrybridge Multifuel 2 (FM2),Waste,Waste,88.9,Thornton/Drax/Eggborough,0,1,1,1
Ferrybridge Multifuel 1 (FM1),Waste,Waste,86.36,Thornton/Drax/Eggborough,0,1,1,1
Dudley EfW,Waste,Waste,9.398,Feckenham,0,1,1,1
Wolverhampton EfW,Waste,Waste,10.16,Feckenham,0,1,1,1
Stoke-on-Trent EfW,Waste,Waste,18.034,Daines,0,1,1,1
Tyseley ERF,Waste,Waste,38.1,Feckenham,0,1,1,1
Haverton Hill Incinerator,Waste,Waste,25.527,Stella West,0,1,1,1
"Fibrepower, Slough",Waste,Waste,63.5,London,0,1,1,1
Chineham ERF,Waste,Waste,10.16,Bramley,0,1,1,1
Marchwood ERF,Waste,Waste,20.32,Lovedean,0,1,1,1
Vine Street EfW,Waste,Waste,12.065,Th. Marsh/Stocksbridge,0,1,1,1
Newlincs EfW,Waste,Waste,4.064,Keadby,0,1,1,1
Trackwork Limited (EfW),Waste,Waste,3.81,Th. Marsh/Stocksbridge,0,1,1,1
Riverside Resource Recovery Facility (RRRF),Waste,Waste,91.44,London,0,1,1,1
Lakeside EfW,Waste,Waste,38.1,London,0,1,1,1
Baldovie,Waste,Waste,10.541,Denny/Bonnybridge,0,1,1,1
Allington EFW,Waste,Waste,64.77,Kemsley,0,1,1,1
Coventry,Waste,Waste,5.715,Feckenham,0,1,1,1
Ardwick Railway Goods Yard Incinerator (Newhaven EFW Plant),Waste,Waste,42.545,Daines,0,1,1,1
Bolton TRF,Waste,Waste,13.716,Daines,0,1,1,1
North Quay ERF,Waste,Waste,23.241,Lovedean,0,1,1,1
Sheffield ERF,Waste,Waste,24.511,Th. Marsh/Stocksbridge,0,1,1,1
Peterborough EfW,Waste,Waste,9.271,Walpole,0,1,1,1
Battlefield EfW,Waste,Waste,10.16,Deeside,0,1,1,1
Four Ashes EfW,Waste,Waste,29.21,Feckenham,0,1,1,1
Cornwall ERC,Waste,Waste,25.4,S.W.Penisula,0,1,1,1
Severnside Energy Recovery Centre,Waste,Waste,40.64,Melksham,0,1,1,1
Trident Park,Waste,Waste,38.1,Melksham,0,1,1,1
Lincoln EFW,Waste,Waste,20.828,Keadby,0,1,1,1
North East Energy Recovery Centre (adjacent to Teesside EfW),Waste,Waste,26.67,Stella West,0,1,1,1
Wilton 11 EfW,Waste,Waste,62.23,Stella West,0,1,1,1
Runcorn EfW,Waste,Waste,127,Deeside,0,1,1,1
Cross Green ERF,Waste,Waste,14.732,Thornton/Drax/Eggborough,0,1,1,1
Exeter EfW,Waste,Waste,16.51,S.W.Penisula,0,1,1,1
North Yard EfW,Waste,Waste,28.575,S.W.Penisula,0,1,1,1
Beddington EfW,Waste,Waste,33.02,London,0,1,1,1
K3 CHP Facility (Kemsley EfW),Waste,Waste,63.373,Kemsley,0,1,1,1
Allerton Waste Recovery Park (EfW),Waste,Waste,34.29,Thornton/Drax/Eggborough,0,1,1,1
Ardley EfW,Waste,Waste,30.48,Sundon/East Claydon,0,1,1,1
Greatmoor EfW,Waste,Waste,27.94,Sundon/East Claydon,0,1,1,1
Twinwoods Heat & Power CHP,Waste,Waste,4.318,Sundon/East Claydon,0,1,1,1
Dunbar EfW (previously Oxwellmains EfW),Waste,Waste,32.512,Torness,0,1,1,1
Great Blakenham EfW,Waste,Waste,25.4,Bramford,0,1,1,1
Javelin Park EfW,Waste,Waste,18.415,Melksham,0,1,1,1
Parc Adfer EfW,Waste,Waste,20.32,Deeside,0,1,1,1
EnviRecover,Waste,Waste,19.685,Feckenham,0,1,1,1
Avonmouth Resource Recovery Centre (formerly Severn Road),Waste,Waste,43.18,Melksham,0,1,1,1
Fawley Waste to Energy Plant,Waste,Waste,10.922,Lovedean,0,1,1,1
Portsmouth ERF,Waste,Waste,17.78,Lovedean,0,1,1,1
Edmonton EcoPark EfW,Waste,Waste,69.85,London,0,1,1,1
Teesside EfW,Waste,Waste,24.384,Stella West,0,1,1,1
Teesside EfW (extension),Waste,Waste,12.7,Stella West,0,1,1,1
SELCHP ERF,Waste,Waste,44.45,London,0,1,1,1
Millerhill EfW (resubmission),Waste,Waste,15.875,Torness,0,1,1,1
Eastcroft EfW (Lines 1 & 2),Waste,Waste,11.43,Ratcliffe,0,1,1,1
Sutton Bridge Hydrogen,Hydrogen,Hydrogen,0,Walpole,80,1,1,1
Baglan Bay Hydrogen,Hydrogen,Hydrogen,0,Melksham,80,1,1,1
Severn Power Hydrogen,Hydrogen,Hydrogen,0,Melksham,80,1,1,1
Blackburn Hydrogen,Hydrogen,Hydrogen,0,Penwortham,80,1,1,1
Damhead Creek Hydrogen,Hydrogen,Hydrogen,0,Kemsley,80,1,1,1
Rye House Hydrogen,Hydrogen,Hydrogen,0,Pelham,80,1,1,1
Shoreham Hydrogen,Hydrogen,Hydrogen,0,Lovedean,80,1,1,1
Castleford Hydrogen,Hydrogen,Hydrogen,0,Thornton/Drax/Eggborough,80,1,1,1
Sandbach Hydrogen,Hydrogen,Hydrogen,0,Daines,80,1,1,1
Thornhill Hydrogen,Hydrogen,Hydrogen,0,Th. Marsh/Stocksbridge,80,1,1,1
West Burton CCGT Hydrogen,Hydrogen,Hydrogen,0,Keadby,80,1,1,1
South Humber Bank Hydrogen,Hydrogen,Hydrogen,0,Keadby,80,1,1,1
Langage Hydrogen,Hydrogen,Hydrogen,0,S.W.Penisula,80,1,1,1
Corby Hydrogen,Hydrogen,Hydrogen,0,Ratcliffe,80,1,1,1
Carrington Hydrogen,Hydrogen,Hydrogen,0,Daines,80,1,1,1
Fellside CHP* Hydrogen,Hydrogen,Hydrogen,0,Harker,80,1,1,1
Rocksavage Hydrogen,Hydrogen,Hydrogen,0,Deeside,80,1,1,1
Coryton Hydrogen,Hydrogen,Hydrogen,0,Kemsley,80,1,1,1
Spalding Hydrogen,Hydrogen,Hydrogen,0,Walpole,80,1,1,1
Marchwood Hydrogen,Hydrogen,Hydrogen,0,Lovedean,80,1,1,1
Didcot B Hydrogen,Hydrogen,Hydrogen,0,Bramley,80,1,1,1
Great Yarmouth Hydrogen,Hydrogen,Hydrogen,0,Bramford,80,1,1,1
Little Barford Hydrogen,Hydrogen,Hydrogen,0,Sundon/East Claydon,80,1,1,1
Pembroke Hydrogen,Hydrogen,Hydrogen,0,Melksham,80,1,1,1
Staythorpe C Hydrogen,Hydrogen,Hydrogen,0,Ratcliffe,80,1,1,1
Seabank Hydrogen,Hydrogen,Hydrogen,0,Melksham,80,1,1,1
Peterhead Hydrogen,Hydrogen,Hydrogen,0,Peterhead,80,1,1,1
Keadby Hydrogen,Hydrogen,Hydrogen,0,Keadby,80,1,1,1
Medway Hydrogen,Hydrogen,Hydrogen,0,Kemsley,80,1,1,1
Saltend* Hydrogen,Hydrogen,Hydrogen,0,Keadby,80,1,1,1
Cottam Development Centre Hydrogen,Hydrogen,Hydrogen,0,Keadby,80,1,1,1
Enfield Hydrogen,Hydrogen,Hydrogen,0,London,80,1,1,1
Grain CHP* Hydrogen,Hydrogen,Hydrogen,0,Kemsley,80,1,1,1
VPI Immingham* Hydrogen,Hydrogen,Hydrogen,0,Keadby,80,1,1,1
Connahs Quay Hydrogen,Hydrogen,Hydrogen,0,Deeside,80,1,1,1
Unmet Load Beauly,Unmet Load,Unmet Load,999999999,Beauly,999999999,1,1,1
Unmet Load Peterhead,Unmet Load,Unmet Load,999999999,Peterhead,999999999,1,1,1
Unmet Load Errochty,Unmet Load,Unmet Load,999999999,Errochty,999999999,1,1,1
