,carrier,type,p_nom,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
Drax - coal units,Coal,Conventional steam,1320,Thornton/Drax/Eggborough,,1,1,1
West Burton,Coal,Conventional steam,2000,Keadby,,1,1,1
Ratcliffe,Coal,Conventional steam,2021,Ratcliffe,,1,1,1
Hartlepool,Nuclear,AGR,1012.327373,Stella West,5,0.03,0.03,0.73
Heysham 1,Nuclear,AGR,905.5417847,Penwortham,5,0.03,0.03,0.73
Heysham 2,Nuclear,AGR,1059.313031,Penwortham,5,0.03,0.03,0.73
Hinkley Point B,Nuclear,AGR,824.384738,S.W.Penisula,5,0.03,0.03,0.73
Hunterston B,Nuclear,AGR,563.5011442,Neilston,5,0.03,0.03,0.73
Torness,Nuclear,AGR,686.4988558,Torness,5,0.03,0.03,0.73
Sizewell B,Nuclear,PWR,1023.433074,Bramford,5,0.03,0.03,0.73
Sutton Bridge CCS Gas,CCS Gas,CCS Gas,0,Walpole,100,1,1,1
Baglan Bay CCS Gas,CCS Gas,CCS Gas,0,Melksham,100,1,1,1
Severn Power CCS Gas,CCS Gas,CCS Gas,0,Melksham,100,1,1,1
Blackburn CCS Gas,CCS Gas,CCS Gas,0,Penwortham,100,1,1,1
Damhead Creek CCS Gas,CCS Gas,CCS Gas,0,Kemsley,100,1,1,1
Rye House CCS Gas,CCS Gas,CCS Gas,0,Pelham,100,1,1,1
Shoreham CCS Gas,CCS Gas,CCS Gas,0,Lovedean,100,1,1,1
Castleford CCS Gas,CCS Gas,CCS Gas,0,Thornton/Drax/Eggborough,100,1,1,1
Sandbach CCS Gas,CCS Gas,CCS Gas,0,Daines,100,1,1,1
Thornhill CCS Gas,CCS Gas,CCS Gas,0,Th. Marsh/Stocksbridge,100,1,1,1
West Burton CCGT CCS Gas,CCS Gas,CCS Gas,0,Keadby,100,1,1,1
South Humber Bank CCS Gas,CCS Gas,CCS Gas,0,Keadby,100,1,1,1
Langage CCS Gas,CCS Gas,CCS Gas,0,S.W.Penisula,100,1,1,1
Corby CCS Gas,CCS Gas,CCS Gas,0,Ratcliffe,100,1,1,1
Carrington CCS Gas,CCS Gas,CCS Gas,0,Daines,100,1,1,1
Fellside CHP* CCS Gas,CCS Gas,CCS Gas,0,Harker,100,1,1,1
Rocksavage CCS Gas,CCS Gas,CCS Gas,0,Deeside,100,1,1,1
Coryton CCS Gas,CCS Gas,CCS Gas,0,Kemsley,100,1,1,1
Spalding CCS Gas,CCS Gas,CCS Gas,0,Walpole,100,1,1,1
Marchwood CCS Gas,CCS Gas,CCS Gas,0,Lovedean,100,1,1,1
Didcot B CCS Gas,CCS Gas,CCS Gas,0,Bramley,100,1,1,1
Great Yarmouth CCS Gas,CCS Gas,CCS Gas,0,Bramford,100,1,1,1
Little Barford CCS Gas,CCS Gas,CCS Gas,0,Sundon/East Claydon,100,1,1,1
Pembroke CCS Gas,CCS Gas,CCS Gas,0,Melksham,100,1,1,1
Staythorpe C CCS Gas,CCS Gas,CCS Gas,0,Ratcliffe,100,1,1,1
Seabank CCS Gas,CCS Gas,CCS Gas,0,Melksham,100,1,1,1
Peterhead CCS Gas,CCS Gas,CCS Gas,0,Peterhead,100,1,1,1
Keadby CCS Gas,CCS Gas,CCS Gas,0,Keadby,100,1,1,1
Medway CCS Gas,CCS Gas,CCS Gas,0,Kemsley,100,1,1,1
Saltend* CCS Gas,CCS Gas,CCS Gas,0,Keadby,100,1,1,1
Cottam Development Centre CCS Gas,CCS Gas,CCS Gas,0,Keadby,100,1,1,1
Enfield CCS Gas,CCS Gas,CCS Gas,0,London,100,1,1,1
Grain CHP* CCS Gas,CCS Gas,CCS Gas,0,Kemsley,100,1,1,1
VPI Immingham* CCS Gas,CCS Gas,CCS Gas,0,Keadby,100,1,1,1
Connahs Quay CCS Gas,CCS Gas,CCS Gas,0,Deeside,100,1,1,1
Aberthaw Power Station Biomass,Biomass (co-firing),Biomass (co-firing),36.75,Melksham,44,1,1,0.73
Drax Biomass Power Station - Unit 1,Biomass (co-firing),Biomass (co-firing),677.25,Thornton/Drax/Eggborough,44,1,1,0.73
Thetford Biomass Power Station,Biomass (dedicated),Biomass (dedicated),48.11416967,Walpole,44,1,1,0.73
Chilton Energy Plant,Biomass (dedicated),Biomass (dedicated),22.49493647,Stella West,44,1,1,0.73
Double H Nurseries Biomass Plant,Biomass (dedicated),Biomass (dedicated),1.874578039,S.W.Penisula,44,1,1,0.73
Beckton STW Biodiesel Power Plant,Biomass (dedicated),Biomass (dedicated),9.997749542,London,44,1,1,0.73
Buslingthorpe Power Station (Leeds North),Biomass (dedicated),Biomass (dedicated),2.499437385,Thornton/Drax/Eggborough,44,1,1,0.73
Invergordon Pellet Mill,Biomass (dedicated),Biomass (dedicated),7.074127676,Beauly,44,1,1,0.73
Caledonian Papermill,Biomass (dedicated),Biomass (dedicated),36.78546391,Neilston,44,1,1,0.73
Wilton International,Biomass (dedicated),Biomass (dedicated),43.99009798,Stella West,44,1,1,0.73
South View Farm,Biomass (dedicated),Biomass (dedicated),2.499437385,Thornton/Drax/Eggborough,44,1,1,0.73
Cowie Biomass Facility,Biomass (dedicated),Biomass (dedicated),21.22238303,Denny/Bonnybridge,44,1,1,0.73
Thornton Power Station,Biomass (dedicated),Biomass (dedicated),11.24746823,Penwortham,44,1,1,0.73
Iggesund Paperboard CHP Plant,Biomass (dedicated),Biomass (dedicated),61.23621594,Harker,44,1,1,0.73
Goosey Lodge Industrial Estate,Biomass (dedicated),Biomass (dedicated),19.99549908,Sundon/East Claydon,44,1,1,0.73
Western Wood Energy Plant,Biomass (dedicated),Biomass (dedicated),17.4960617,Melksham,44,1,1,0.73
Eccleshall Biomass,Biomass (dedicated),Biomass (dedicated),3.249268601,Daines,44,1,1,0.73
Westfield Biomass Power Station,Biomass (dedicated),Biomass (dedicated),17.68531919,Denny/Bonnybridge,44,1,1,0.73
Derriford Hospital,Biomass (dedicated),Biomass (dedicated),1.874578039,S.W.Penisula,44,1,1,0.73
Rampton Hospital Energy Centre,Biomass (dedicated),Biomass (dedicated),1.499662431,Keadby,44,1,1,0.73
Elean Business Park Biomass Plant,Biomass (dedicated),Biomass (dedicated),49.98874771,Walpole,44,1,1,0.73
Eye Biomass Plant,Biomass (dedicated),Biomass (dedicated),17.87097731,Bramford,44,1,1,0.73
King's Yard,Biomass (dedicated),Biomass (dedicated),3.749156078,London,44,1,1,0.73
Ridham CHP Plant,Biomass (dedicated),Biomass (dedicated),31.24296732,Kemsley,44,1,1,0.73
Margam Green Energy Plant,Biomass (dedicated),Biomass (dedicated),49.98874771,Melksham,44,1,1,0.73
Lynemouth Power Station,Biomass (dedicated),Biomass (dedicated),524.8818509,Stella West,44,1,1,0.73
Holbrook Community Renewable Energy Centre,Biomass (dedicated),Biomass (dedicated),8.123171502,Th. Marsh/Stocksbridge,44,1,1,0.73
Cramlington CHP,Biomass (dedicated),Biomass (dedicated),34.61720779,Stella West,44,1,1,0.73
Markley Group (Premiere Kitckens) Biomass,Biomass (dedicated),Biomass (dedicated),2.624409255,Melksham,44,1,1,0.73
Heathrow Airport Biomass CHP,Biomass (dedicated),Biomass (dedicated),2.249493647,London,44,1,1,0.73
Bentwaters CHP,Biomass (dedicated),Biomass (dedicated),5.748705986,Bramford,44,1,1,0.73
SAICA Paper Mill,Biomass (dedicated),Biomass (dedicated),51.98829762,Daines,44,1,1,0.73
Eco Composting,Biomass (dedicated),Biomass (dedicated),3.999099817,S.W.Penisula,44,1,1,0.73
Rothes Bio-Plant,Biomass (dedicated),Biomass (dedicated),11.74305194,Beauly,44,1,1,0.73
Beckton Gas Pressure Reduction Station,Biomass (dedicated),Biomass (dedicated),23.74465516,London,44,1,1,0.73
Brigg Renewable Energy Plant (Re-submission),Biomass (dedicated),Biomass (dedicated),49.98874771,Keadby,44,1,1,0.73
Tilbury Green Power,Biomass (dedicated),Biomass (dedicated),53.73790379,Kemsley,44,1,1,0.73
Markinch Biomass CHP Plant,Biomass (dedicated),Biomass (dedicated),91.96365979,Denny/Bonnybridge,44,1,1,0.73
Templeborough Biomass Power Plant- Rotherham,Biomass (dedicated),Biomass (dedicated),52.48818509,Th. Marsh/Stocksbridge,44,1,1,0.73
Blackburn Meadows Biomass Plant,Biomass (dedicated),Biomass (dedicated),37.49156078,Th. Marsh/Stocksbridge,44,1,1,0.73
Diageo Biomass Energy Project,Biomass (dedicated),Biomass (dedicated),7.781540443,Denny/Bonnybridge,44,1,1,0.73
Discovery Park,Biomass (dedicated),Biomass (dedicated),19.99549908,Sellindge,44,1,1,0.73
Drax Biomass Power Station - Unit 3,Biomass (dedicated),Biomass (dedicated),806.0685568,Thornton/Drax/Eggborough,44,1,1,0.73
King George Dock,Biomass (dedicated),Biomass (dedicated),11.24746823,Keadby,44,1,1,0.73
Northampton General Hospital,Biomass (dedicated),Biomass (dedicated),2.374465516,Sundon/East Claydon,44,1,1,0.73
Snetterton Biomass Plant,Biomass (dedicated),Biomass (dedicated),55.23756622,Bramford,44,1,1,0.73
Speyside Biomass CHP Plant,Biomass (dedicated),Biomass (dedicated),17.68531919,Beauly,44,1,1,0.73
Widnes 3MG Biomass/Mersey Bioenergy (CHP) Plant,Biomass (dedicated),Biomass (dedicated),24.99437385,Deeside,44,1,1,0.73
Drax Biomass Power Station - Unit 2,Biomass (dedicated),Biomass (dedicated),806.0685568,Thornton/Drax/Eggborough,44,1,1,0.73
Stevens Croft,Biomass (dedicated),Biomass (dedicated),62.98582211,Harker,44,1,1,0.73
Macphie of Glenbervie,Biomass (dedicated),Biomass (dedicated),1.697790642,Peterhead,44,1,1,0.73
Sleaford Renewable Energy Plant,Biomass (dedicated),Biomass (dedicated),49.98874771,Ratcliffe,44,1,1,0.73
Sustainable Power and Research Campus,Biomass (dedicated),Biomass (dedicated),9.196365979,Torness,44,1,1,0.73
Whitemoor,Biomass (dedicated),Biomass (dedicated),22.49493647,Thornton/Drax/Eggborough,44,1,1,0.73
Daventry,Biomass (dedicated),Biomass (dedicated),1.249718693,Sundon/East Claydon,44,1,1,0.73
The Sawmill,Biomass (dedicated),Biomass (dedicated),8.49808711,Ratcliffe,44,1,1,0.73
Felinfach,Biomass (dedicated),Biomass (dedicated),3.999099817,Deeside,44,1,1,0.73
Acharn Forest Killin Biomass Plant,Biomass (dedicated),Biomass (dedicated),7.923022997,Errochty,44,1,1,0.73
Hull Biomass Plant (Tansterne power station),Biomass (dedicated),Biomass (dedicated),27.49381124,Keadby,44,1,1,0.73
Pulteney Distillery,Biomass (dedicated),Biomass (dedicated),4.951889373,Peterhead,44,1,1,0.73
Harbour Road,Biomass (dedicated),Biomass (dedicated),3.678546391,Neilston,44,1,1,0.73
Barnsley 1.5,Biomass (dedicated),Biomass (dedicated),11.24746823,Th. Marsh/Stocksbridge,44,1,1,0.73
Spalding.1,Biomass (dedicated),Biomass (dedicated),18.12092104,Walpole,44,1,1,0.73
Balderton,Biomass (dedicated),Biomass (dedicated),25.36928946,Ratcliffe,44,1,1,0.73
Liberty Steel Power Station,Biomass (dedicated),Biomass (dedicated),11.24746823,Melksham,44,1,1,0.73
JG Pears' animal rendering facility,Biomass (dedicated),Biomass (dedicated),14.99662431,Keadby,44,1,1,0.73
Blazer Fuels,Biomass (dedicated),Biomass (dedicated),3.749156078,Deeside,44,1,1,0.73
Loicher Lane,Biomass (dedicated),Biomass (dedicated),9.997749542,Th. Marsh/Stocksbridge,44,1,1,0.73
Safran Landing Systems Service,Biomass (dedicated),Biomass (dedicated),4.498987294,Feckenham,44,1,1,0.73
ABP Ellesmere Abbatoir,Biomass (dedicated),Biomass (dedicated),1.374690562,Deeside,44,1,1,0.73
Alscot,Biomass (dedicated),Biomass (dedicated),1.999549908,Feckenham,44,1,1,0.73
Ipswich Hospital Energy Centre,Biomass (dedicated),Biomass (dedicated),3.249268601,Bramford,44,1,1,0.73
Drax Biomass Power Station - Unit 4,Biomass (dedicated),Biomass (dedicated),806.0685568,Thornton/Drax/Eggborough,44,1,1,0.73
Liberty Steel Dalzell,Biomass (dedicated),Biomass (dedicated),24.0520341,Strathaven,44,1,1,0.73
Sutton Bridge CCS Biomass,CCS Biomass,CCS Biomass,0,Walpole,120,1,1,1
Baglan Bay CCS Biomass,CCS Biomass,CCS Biomass,0,Melksham,120,1,1,1
Severn Power CCS Biomass,CCS Biomass,CCS Biomass,0,Melksham,120,1,1,1
Blackburn CCS Biomass,CCS Biomass,CCS Biomass,0,Penwortham,120,1,1,1
Damhead Creek CCS Biomass,CCS Biomass,CCS Biomass,0,Kemsley,120,1,1,1
Rye House CCS Biomass,CCS Biomass,CCS Biomass,0,Pelham,120,1,1,1
Shoreham CCS Biomass,CCS Biomass,CCS Biomass,0,Lovedean,120,1,1,1
Castleford CCS Biomass,CCS Biomass,CCS Biomass,0,Thornton/Drax/Eggborough,120,1,1,1
Sandbach CCS Biomass,CCS Biomass,CCS Biomass,0,Daines,120,1,1,1
Thornhill CCS Biomass,CCS Biomass,CCS Biomass,0,Th. Marsh/Stocksbridge,120,1,1,1
West Burton CCGT CCS Biomass,CCS Biomass,CCS Biomass,0,Keadby,120,1,1,1
South Humber Bank CCS Biomass,CCS Biomass,CCS Biomass,0,Keadby,120,1,1,1
Langage CCS Biomass,CCS Biomass,CCS Biomass,0,S.W.Penisula,120,1,1,1
Corby CCS Biomass,CCS Biomass,CCS Biomass,0,Ratcliffe,120,1,1,1
Carrington CCS Biomass,CCS Biomass,CCS Biomass,0,Daines,120,1,1,1
Fellside CHP* CCS Biomass,CCS Biomass,CCS Biomass,0,Harker,120,1,1,1
Rocksavage CCS Biomass,CCS Biomass,CCS Biomass,0,Deeside,120,1,1,1
Coryton CCS Biomass,CCS Biomass,CCS Biomass,0,Kemsley,120,1,1,1
Spalding CCS Biomass,CCS Biomass,CCS Biomass,0,Walpole,120,1,1,1
Marchwood CCS Biomass,CCS Biomass,CCS Biomass,0,Lovedean,120,1,1,1
Didcot B CCS Biomass,CCS Biomass,CCS Biomass,0,Bramley,120,1,1,1
Great Yarmouth CCS Biomass,CCS Biomass,CCS Biomass,0,Bramford,120,1,1,1
Little Barford CCS Biomass,CCS Biomass,CCS Biomass,0,Sundon/East Claydon,120,1,1,1
Pembroke CCS Biomass,CCS Biomass,CCS Biomass,0,Melksham,120,1,1,1
Staythorpe C CCS Biomass,CCS Biomass,CCS Biomass,0,Ratcliffe,120,1,1,1
Seabank CCS Biomass,CCS Biomass,CCS Biomass,0,Melksham,120,1,1,1
Peterhead CCS Biomass,CCS Biomass,CCS Biomass,0,Peterhead,120,1,1,1
Keadby CCS Biomass,CCS Biomass,CCS Biomass,0,Keadby,120,1,1,1
Medway CCS Biomass,CCS Biomass,CCS Biomass,0,Kemsley,120,1,1,1
Saltend* CCS Biomass,CCS Biomass,CCS Biomass,0,Keadby,120,1,1,1
Cottam Development Centre CCS Biomass,CCS Biomass,CCS Biomass,0,Keadby,120,1,1,1
Enfield CCS Biomass,CCS Biomass,CCS Biomass,0,London,120,1,1,1
Grain CHP* CCS Biomass,CCS Biomass,CCS Biomass,0,Kemsley,120,1,1,1
VPI Immingham* CCS Biomass,CCS Biomass,CCS Biomass,0,Keadby,120,1,1,1
Connahs Quay CCS Biomass,CCS Biomass,CCS Biomass,0,Deeside,120,1,1,1
Sutton Bridge,Natural Gas,CCGT,753.48,Walpole,,1,1,1
Baglan Bay,Natural Gas,CCGT,478.4,Melksham,,1,1,1
Severn Power,Natural Gas,CCGT,782,Melksham,,1,1,1
Blackburn,Natural Gas,CCGT,55.2,Penwortham,,1,1,1
Damhead Creek,Natural Gas,CCGT,740.6,Kemsley,,1,1,1
Rye House,Natural Gas,CCGT,657.8,Pelham,,1,1,1
Shoreham,Natural Gas,CCGT,386.4,Lovedean,,1,1,1
Castleford,Natural Gas,CCGT,51.52,Thornton/Drax/Eggborough,,1,1,1
Sandbach,Natural Gas,CCGT,51.52,Daines,,1,1,1
Thornhill,Natural Gas,CCGT,46,Th. Marsh/Stocksbridge,,1,1,1
West Burton CCGT,Natural Gas,CCGT,1225.44,Keadby,,1,1,1
South Humber Bank,Natural Gas,CCGT,1255.8,Keadby,,1,1,1
Langage,Natural Gas,CCGT,832.6,S.W.Penisula,,1,1,1
Corby,Natural Gas,CCGT,374.44,Ratcliffe,,1,1,1
Carrington,Natural Gas,CCGT,837.2,Daines,,1,1,1
Fellside CHP*,Natural Gas,CCGT,142.6,Harker,,1,1,1
Rocksavage,Natural Gas,CCGT,745.2,Deeside,,1,1,1
Coryton,Natural Gas,CCGT,736,Kemsley,,1,1,1
Spalding,Natural Gas,CCGT,874,Walpole,,1,1,1
Marchwood,Natural Gas,CCGT,826.16,Lovedean,,1,1,1
Didcot B,Natural Gas,CCGT,1334,Bramley,,1,1,1
Great Yarmouth,Natural Gas,CCGT,386.4,Bramford,,1,1,1
Little Barford,Natural Gas,CCGT,665.16,Sundon/East Claydon,,1,1,1
Pembroke,Natural Gas,CCGT,2023.08,Melksham,,1,1,1
Staythorpe C,Natural Gas,CCGT,1630.24,Ratcliffe,,1,1,1
Seabank,Natural Gas,CCGT,1135.28,Melksham,,1,1,1
Peterhead,Natural Gas,CCGT,1085.6,Peterhead,,1,1,1
Keadby,Natural Gas,CCGT,676.2,Keadby,,1,1,1
Medway,Natural Gas,CCGT,694.6,Kemsley,,1,1,1
Saltend*,Natural Gas,CCGT,1104,Keadby,,1,1,1
Cottam Development Centre,Natural Gas,CCGT,409.4,Keadby,,1,1,1
Enfield,Natural Gas,CCGT,375.36,London,,1,1,1
Grain CHP*,Natural Gas,CCGT,1395.64,Kemsley,,1,1,1
VPI Immingham*,Natural Gas,CCGT,1151.84,Keadby,,1,1,1
Connahs Quay,Natural Gas,CCGT,1269.6,Deeside,,1,1,1
Peterborough,Natural Gas,OCGT,686,Walpole,,1,1,1
Glanford Brigg,Natural Gas,OCGT,277.2,Keadby,,1,1,1
Barkantine Heat & Power *,Natural Gas,OCGT,2.8,London,,1,1,1
London Heat & Power *,Natural Gas,OCGT,25.2,London,,1,1,1
Wilton GT*,Natural Gas,OCGT,336,Stella West,,1,1,1
Burghfield,Natural Gas,OCGT,140,Bramley,,1,1,1
Chickerell,Natural Gas,OCGT,140,S.W.Penisula,,1,1,1
Chippenham,Natural Gas,OCGT,28.196,Melksham,,1,1,1
Pilkington - Greengate *,Natural Gas,OCGT,28,Deeside,,1,1,1
Killingholme,Natural Gas,OCGT,1680,Keadby,,1,1,1
Baglan Bay GT,Oil,Diesel/gas Diesel/Gas oil,41.344,Melksham,,1,1,1
Drax GT,Oil,Diesel/gas Diesel/Gas oil,96,Thornton/Drax/Eggborough,,1,1,1
West Burton GT,Oil,Diesel/gas Diesel/Gas oil,51.2,Keadby,,1,1,1
Keadby GT,Oil,Diesel/gas Diesel/Gas oil,32,Keadby,,1,1,1
Grain GT,Oil,Diesel/gas Diesel/Gas oil,71.68,Kemsley,,1,1,1
Cowes,Oil,Diesel/Gas oil,179.2,Lovedean,,1,1,1
Didcot GT,Oil,Diesel/Gas oil,128,Sundon/East Claydon,,1,1,1
Little Barford GT,Oil,Diesel/Gas oil,21.76,Sundon/East Claydon,,1,1,1
Lerwick,Oil,Diesel/Gas oil,85.76,Peterhead,,1,1,1
Thatcham,Oil,Diesel/Gas oil,11.52,Bramley,,1,1,1
Arnish,Oil,Diesel/Gas oil,12.8,Beauly,,1,1,1
Barra,Oil,Diesel/Gas oil,3.2,Beauly,,1,1,1
Bowmore,Oil,Diesel/Gas oil,7.68,Neilston,,1,1,1
Kirkwall,Oil,Diesel/Gas oil,20.48,Peterhead,,1,1,1
"Loch Carnan, South Uist",Oil,Diesel/Gas oil,14.08,Beauly,,1,1,1
