name,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus,standing_loss,capital_cost,p_nom_extendable
Th. Marsh/Stocksbridge Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,Th. Marsh/Stocksbridge,0,0,FALSE
Thornton/Drax/Eggborough Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,Thornton/Drax/Eggborough,0,0,FALSE
Keadby Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,Keadby,0,0,FALSE
Ratcliffe Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,Ratcliffe,0,0,FALSE
Feckenham Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,Feckenham,0,0,FALSE
Walpole Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,Walpole,0,0,FALSE
Bramford Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,Bramford,0,0,FALSE
Pelham Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,Pelham,0,0,FALSE
Sundon/East Claydon Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,Sundon/East Claydon,0,0,FALSE
Melksham Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,Melksham,0,0,FALSE
Bramley Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,Bramley,0,0,FALSE
London Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,London,0,0,FALSE
Kemsley Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,Kemsley,0,0,FALSE
Sellindge Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,Sellindge,0,0,FALSE
Lovedean Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,Lovedean,0,0,FALSE
S.W.Penisula Battery,148.9095671,Battery,0,1.253542991,0.95,0.95,186.6645441,S.W.Penisula,0,0,FALSE
Beauly Compressed Air,0.113793103,Compressed Air,0,4,0.69,0.69,0.455172414,Beauly,0,0,FALSE
Peterhead Compressed Air,0.113793103,Compressed Air,0,4,0.69,0.69,0.455172414,Peterhead,0,0,FALSE
Errochty Compressed Air,0.113793103,Compressed Air,0,4,0.69,0.69,0.455172414,Errochty,0,0,FALSE
Denny/Bonnybridge Compressed Air,0.113793103,Compressed Air,0,4,0.69,0.69,0.455172414,Denny/Bonnybridge,0,0,FALSE
Neilston Compressed Air,0.113793103,Compressed Air,0,4,0.69,0.69,0.455172414,Neilston,0,0,FALSE
Strathaven Compressed Air,0.113793103,Compressed Air,0,4,0.69,0.69,0.455172414,Strathaven,0,0,FALSE
Torness Compressed Air,0.113793103,Compressed Air,0,4,0.69,0.69,0.455172414,Torness,0,0,FALSE
Eccles Compressed Air,0.113793103,Compressed Air,0,4,0.69,0.69,0.455172414,Eccles,0,0,FALSE
Harker Compressed Air,0.113793103,Compressed Air,0,4,0.69,0.69,0.455172414,Harker,0,0,FALSE
Stella West Compressed Air,0.113793103,Compressed Air,0,4,0.69,0.69,0.455172414,Stella West,0,0,FALSE
Penwortham Compressed Air,0.113793103,Compressed Air,0,4,0.69,0.69,0.455172414,Penwortham,0,0,FALSE
Deeside Compressed Air,0.113793103,Compressed Air,0,4,0.69,0.69,0.455172414,Deeside,0,0,FALSE
Daines Compressed Air,0.113793103,Compressed Air,0,4,0.69,0.69,0.455172414,Daines,0,0,FALSE
Th. Marsh/Stocksbridge Compressed Air,0.113793103,Compressed Air,0,4,0.69,0.69,0.455172414,Th. Marsh/Stocksbridge,0,0,FALSE
