Timestamp,Beauly,Peterhead,Errochty,Denny/Bonnybridge,Neilston,Strathaven,Torness,Eccles,Harker,Stella West,Penwortham,Deeside,Daines,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Keadby,Ratcliffe,Feckenham,Walpole,Bramford,Pelham,Sundon/East Claydon,Melksham,Bramley,London,Kemsley,Sellindge,Lovedean,S.W.Penisula
30/03/2022 20:00,6379.42388053,7418.8300154,5076.98950429,25546.2370524,13340.823506499999,5357.67251288,24440.769834400002,9106.806354389999,3250.152775,45348.6074521,23980.839047,12250.838718859999,32472.5981727,61170.0142848,13139.75074209,6387.00005349,44382.288051,132508.664964,23448.3840633,52654.95692799,24778.522263990002,12298.9670876,57256.77123879999,35237.8178375,320184.35960070003,33073.1518847,2565.495995626,9364.30597192,6812.5165166
30/03/2022 21:00,5171.1402692,8291.84288776,5076.98950429,25546.2370524,13340.823506499999,5357.67251288,7712.05693258,2867.39222174,4440.7938827,14282.9614628,50210.1205418,15314.87131521,32472.5981727,19381.9996776,4243.03270783,6387.00005349,73809.2164471,132508.664964,5708.15297963,44058.35432604,24778.522263990002,12246.5282535,99989.8789858,42424.80207590001,246506.800232,60589.5053071,7434.402882740001,8127.10496317,24752.976776699998
30/03/2022 22:00,5171.1402692,8291.84288776,6802.053164389999,34232.1731905,29031.92198723,10573.6844344,26983.1288637,10052.93448553,15982.8715018,45348.6074521,70247.23127379999,15519.328716700002,32472.5981727,72193.7385624,15488.53364655,6387.00005349,73809.2164471,137535.36262600002,25839.06791,56463.39023009,24778.522263990002,12246.5282535,68096.3131003,36384.579109700004,166799.1218304,60589.5053071,16276.098551449999,33255.69860556,27716.815722400002
30/03/2022 23:00,1071.7467694900001,6971.0665815699995,6802.053164389999,34232.1731905,13340.823506499999,5357.67251288,26983.1288637,10052.93448553,12837.3516481,13220.1256416,70247.23127379999,20332.7203954,32472.5981727,21992.4450223,4789.6754167,30817.10739016,73809.2164471,137535.36262600002,25839.06791,33912.132350800006,24778.522263990002,78747.5134221,70796.3846083,65999.42922030001,163398.3716475,60589.5053071,3552.14502231,8714.404826599999,27935.7450897
31/03/2022 00:00,1071.7467694900001,8641.472612660002,5076.98950429,25546.2370524,13340.823506499999,5357.67251288,26193.823407199998,9760.656353420001,8109.5358391,69391.50101580001,58342.9025313,19121.728512499998,102127.4654956,18809.1181,4136.62534122,30817.10739016,73809.2164471,118531.199076,7286.21841042,43511.91072616,25336.94499851,78747.5134221,70796.3846083,82700.3336369,68660.19996829999,60589.5053071,7877.19692035,13800.09716678,31264.2418229
31/03/2022 01:00,1071.7467694900001,8641.472612660002,5076.98950429,25546.2370524,13340.823506499999,5357.67251288,19975.0591353,7440.65668298,11171.9177173,52312.165898399995,87662.7912485,19121.728512499998,102127.4654956,79048.4434532,16949.60774339,30817.10739016,71295.8126739,118531.199076,22917.7526329,13077.73941456,25336.94499851,17768.060728999997,16861.3792732,43792.68307960001,249922.0132552,60589.5053071,2268.0890056850003,13106.78028927,59265.775354499994
31/03/2022 02:00,6280.15873524,13144.4020165,3557.50697222,17929.8017492,29031.92198723,10573.6844344,21538.6160623,8022.873447440001,12837.3516481,52312.165898399995,25614.1868236,4113.65776305,23051.5087955,72052.2842521,15467.40712612,30817.10739016,71295.8126739,118590.17160500001,11965.750634709999,15187.55131552,40993.660062630006,11912.3406572,82556.6008706,44150.395677399996,58588.4083063,38083.6120872,14433.49493828,10872.66010044,47729.5590508
31/03/2022 03:00,6280.15873524,6971.0665815699995,4540.11888854,22857.006362,22703.02844934,8378.302696499999,24440.769834400002,9106.806354389999,12304.3354989,52312.165898399995,31007.7469009,17211.5386453,23051.5087955,96093.8625059,20605.42279004,30817.10739016,71295.8126739,118590.17160500001,26898.955555999997,9160.914957070001,40993.660062630006,13798.3870516,37381.1380433,44389.909820199995,161166.82001390003,38083.6120872,12110.875491409999,13481.655114509998,31959.439147099998
31/03/2022 04:00,6280.15873524,2075.32779795,1805.49346739,9170.891001510001,29031.92198723,10573.6844344,24440.769834400002,9106.806354389999,15982.8715018,48760.498370199995,18210.7712591,4113.65776305,23051.5087955,17513.5959916,3851.67425249,30817.10739016,76361.37353889999,118590.17160500001,8468.17901245,15792.60338254,40993.660062630006,48953.5838913,44305.2538586,65976.41630689999,191193.5418817,33682.1511772,7399.43665358,70095.0504396,31959.439147099998
31/03/2022 05:00,7024.34873497,10241.1472344,1805.49346739,9170.891001510001,22703.02844934,8378.302696499999,14873.2235642,5538.04599752,8869.9821655,69391.50101580001,81782.384367,4113.65776305,23051.5087955,17513.5959916,3851.67425249,30817.10739016,71295.8126739,118590.17160500001,16037.2897706,10665.54682618,11157.54881291,38199.7940352,92831.5386951,14186.425077799999,51798.2435488,13241.308090800001,10869.736415919999,70095.0504396,13177.0951215
31/03/2022 06:00,7024.34873497,6971.0665815699995,1780.69012208,9039.42210752,22703.02844934,8378.302696499999,20074.981467,7478.38484082,8869.9821655,48760.498370199995,18210.7712591,4113.65776305,102127.4654956,78981.9649061,16959.7997177,6387.00005349,71295.8126739,118590.17160500001,18320.97578,26355.835564959998,11157.54881291,62494.057484699995,107117.6176582,71632.66860949999,55671.9081974,13241.308090800001,2317.102461433,45999.619607320004,9788.3959594
31/03/2022 07:00,6280.15873524,10299.2996132,4540.11888854,22857.006362,22703.02844934,8378.302696499999,18241.5808907,6796.71926553,10012.1017866,45348.6074521,70247.23127379999,13911.985113699999,102127.4654956,84774.4873847,18156.74841147,5587.13207547,71295.8126739,118531.199076,34018.644303600006,13122.585206459999,40993.660062630006,62494.057484699995,34271.6275537,71632.66860949999,60920.9503252,33682.1511772,2043.22962927,45999.619607320004,70937.7449295
