Timestamp,Beauly Heat Demand With Gas Boilers,Peterhead Heat Demand With Gas Boilers,Errochty Heat Demand With Gas Boilers,Denny_Bonny/bridge Heat Demand With Gas Boilers,Neilston Heat Demand With Gas Boilers,Strathavenorness Heat Demand With Gas Boilers,Torness Heat Demand With Gas Boilers,Eccles Heat Demand With Gas Boilers,Harker Heat Demand With Gas Boilers,Stella_West Heat Demand With Gas Boilers,Penwortham Heat Demand With Gas Boilers,Deeside Heat Demand With Gas Boilers,Daines Heat Demand With Gas Boilers,Marsh_Stoksbridge Heat Demand With Gas Boilers ,Thornton-Drax Heat Demand With Gas Boilers, Keadby Heat Demand With Gas Boilers,Ratcliffe Heat Demand With Gas Boilers,Feckenham Heat Demand With Gas Boilers,Walpole Heat Demand With Gas Boilers,Bramford Heat Demand With Gas Boilers,Pelham Heat Demand With Gas Boilers,Sundon_East Heat Demand With Gas Boilers,Melksham Heat Demand With Gas Boilers,Bramley Heat Demand With Gas Boilers,London Heat Demand With Gas Boilers,Kemsley Heat Demand With Gas Boilers,Sellindge Heat Demand With Gas Boilers,Lovedean Heat Demand With Gas Boilers,S_W_Pensiula Heat Demand With Gas Boilers,,
01/01/2022 00:00,426.5436214,639.2386506,304.1429844,1575.059203,2304.102987,758.4004321,1393.122169,484.3086395,649.7007218,3296.220905,5217.93719,780.2883878,5139.189515,4276.07174,917.2862513,1505.435427,3496.590215,5656.587898,1301.637847,2397.153686,1811.542764,2948.010518,4691.224612,3022.862106,12932.08959,2714.235549,649.3930939,3392.240749,2208.45425,,
01/01/2022 01:00,426.5436214,558.4733813,304.1429844,1575.059203,2304.102987,758.4004321,1318.500223,458.3668708,564.6466415,2879.756461,4534.842907,678.1387226,5139.189515,3716.279613,797.2018249,1505.435427,3496.590215,5656.587898,1131.236913,2083.335807,1811.542764,2562.07848,4077.083698,2627.131045,11239.11474,2714.235549,564.379286,2948.153329,1638.326191,,
01/01/2022 02:00,426.5436214,563.568445,265.0256959,1372.483281,2304.102987,758.4004321,1321.986402,459.5788151,649.7007218,3127.908888,4546.833252,679.9317544,5139.189515,3716.279613,797.2018249,1505.435427,3496.590215,5943.625951,1134.227959,2088.844248,1811.542764,2948.010518,4087.863705,2634.077307,11268.8315,2365.144692,565.8715322,2948.153329,1638.326191,,1000
01/01/2022 03:00,447.0481318,681.5800393,316.736318,1640.276048,2399.506593,789.8027333,1579.926444,549.2497669,676.6022066,3738.212405,5433.99091,941.6058695,5139.189515,3716.279613,797.2018249,1505.435427,3641.369904,5890.804374,1355.533418,2496.410145,1811.542764,3070.075736,4087.863705,2627.131045,13467.55523,2826.621089,676.2818411,3532.699748,1963.166048,,
01/01/2022 04:00,790.3540025,1215.998618,316.736318,1640.276048,2399.506593,789.8027333,2821.320525,980.8112565,1208.228206,2879.756461,9703.635347,941.6058695,5139.189515,7952.077492,1705.848684,1505.435427,3641.369904,5890.804374,2420.615382,4457.912081,1811.542764,5482.323382,8724.124362,5621.522551,24049.40441,5047.57935,676.2818411,6308.444513,3505.682614,,
01/01/2022 05:00,1980.450229,3241.446117,316.736318,1640.276048,2399.506593,789.8027333,6640.511515,2308.524815,3025.251782,3127.908888,24296.685,3633.317244,5139.189515,7952.077492,1705.848684,7009.875557,3496.590215,5656.587898,6060.917105,4457.912081,8435.226853,5482.323382,21844.11244,14075.58691,60216.69021,12638.50517,3023.819351,15795.55329,8777.789266,,
01/01/2022 06:00,3854.13027,5929.769529,2593.95847,13433.28095,19626.78073,6460.196907,12126.44601,4215.669453,5534.272418,30576.73416,44447.36615,6646.642612,5139.189515,36424.37986,7813.616069,7009.875557,3496.590215,5890.804374,6060.917105,20419.40401,1811.542764,3070.075736,39960.72977,25749.30551,110157.961,12638.50517,3023.819351,15795.55329,16077.63591,,
01/01/2022 07:00,3654.912187,5623.262682,2593.95847,13433.28095,19626.78073,6460.196907,1321.986402,459.5788151,5248.20862,28996.23793,44447.36615,6646.642612,5139.189515,34541.62173,7409.734128,7009.875557,3496.590215,5890.804374,10514.48266,19363.93514,8435.226853,3070.075736,37895.17946,24418.33668,104463.9506,21925.28641,5245.723637,3392.240749,16077.63591,,
01/01/2022 08:00,3654.912187,3884.598011,2593.95847,13433.28095,19626.78073,6460.196907,8465.882969,2943.101728,3802.134812,20030.84945,24296.685,4354.222292,28678.08094,36424.37986,7813.616069,7009.875557,3496.590215,5656.587898,7263.494651,13376.7722,8435.226853,16450.70376,26178.31445,24418.33668,104463.9506,15146.17559,3623.790805,3392.240749,2208.45425,,
01/01/2022 09:00,1921.618256,2689.69545,2593.95847,13433.28095,9785.65267,3220.968531,5861.776905,2037.803476,2510.301162,13869.35906,20160.96543,3014.863277,5139.189515,16521.80381,3544.192989,7009.875557,3496.590215,5656.587898,10514.48266,9262.07634,8435.226853,11390.46638,18125.86349,24418.33668,49966.75923,10487.21115,2509.112556,15795.55329,8006.171411,,
01/01/2022 10:00,1921.618256,2123.725335,2593.95847,13433.28095,9785.65267,3220.968531,4628.332223,1609.005536,3025.251782,10950.94585,15918.66212,941.6058695,5139.189515,13045.25883,2798.418104,7009.875557,3496.590215,5656.587898,3970.9817,7313.13509,8435.226853,8993.665818,14311.78966,9222.019879,39452.67204,8280.475028,1981.140988,11678.55236,5751.017533,,
01/01/2022 11:00,3654.912187,2335.377332,2593.95847,13433.28095,19626.78073,6460.196907,4512.63552,1568.784431,5534.272418,10677.19965,5433.99091,2617.710252,5139.189515,12719.16007,2728.464667,5050.432395,3496.590215,5656.587898,4366.732597,7130.325046,1811.542764,9889.981033,13954.03079,8991.492501,38466.45415,9105.713135,2178.582927,11678.55236,1638.326191,,
01/01/2022 12:00,3654.912187,2262.079937,316.736318,1640.276048,19626.78073,6460.196907,4479.20808,1557.163628,5248.20862,10598.10808,15405.7653,2617.710252,5139.189515,13895.11995,2980.727001,4891.921163,3641.369904,5656.587898,4229.679745,7077.507017,5886.618732,9579.577298,15244.16162,9822.80797,38181.5131,8819.924179,2110.20663,11678.55236,6125.679797,,
01/01/2022 13:00,3854.13027,2052.450171,316.736318,1640.276048,19626.78073,6460.196907,4334.148718,1506.734812,1856.095642,10254.88786,9703.635347,2300.578918,15152.23248,12607.44188,2704.499316,5050.432395,3641.369904,5943.625951,3837.710053,7067.696146,5886.618732,8691.825936,13831.46617,9822.80797,36945.00302,8819.924179,2110.20663,11678.55236,8006.171411,,
01/01/2022 14:00,1427.437332,2262.079937,316.736318,1640.276048,19626.78073,6460.196907,4786.241988,1663.9017,2049.704214,11324.57099,16461.77615,2388.189123,15152.23248,13087.55606,2807.49154,5050.432395,3641.369904,5943.625951,3983.856991,7336.846794,5544.497126,9022.826382,13831.46617,9536.657404,40798.72109,8307.323183,1987.56453,11678.55236,8006.171411,,
01/01/2022 15:00,1427.437332,3221.303562,265.0256959,1372.483281,19626.78073,6460.196907,7299.458615,2537.602911,3125.987178,17271.01084,25105.72053,3610.739577,15152.23248,19787.27572,4244.6893,5050.432395,3641.369904,5943.625951,6023.254177,11533.72843,5544.497126,13641.74889,13954.03079,14544.27842,62221.79675,12559.96869,3124.507049,15795.55329,6125.679797,,
01/01/2022 16:00,3582.708229,5321.954822,265.0256959,1372.483281,2399.506593,789.8027333,11598.38072,4032.091453,4966.997053,20030.84945,39891.4112,941.6058695,5139.189515,12607.44188,2704.499316,5050.432395,3641.369904,5656.587898,9951.091535,2496.410145,5544.497126,13641.74889,26178.31445,2634.077307,98866.52231,20750.47714,4964.645221,11678.55236,1638.326191,,
01/01/2022 17:00,3582.708229,2689.69545,265.0256959,1372.483281,2304.102987,758.4004321,1321.986402,459.5788151,5363.372204,29632.51421,43074.81637,780.2883878,28678.08094,35299.58263,7572.328948,7009.875557,3641.369904,5656.587898,10745.20624,4457.912081,1811.542764,24336.24766,38726.72885,5621.522551,106756.2457,2714.235549,5360.832691,15795.55329,1963.166048,,
01/01/2022 18:00,3582.708229,5552.651928,304.1429844,1575.059203,2304.102987,758.4004321,1321.986402,459.5788151,649.7007218,30576.73416,41620.63165,6223.933786,28678.08094,34107.886,7316.690828,1505.435427,3496.590215,5656.587898,10382.45334,4457.912081,1811.542764,23514.66784,4087.863705,5621.522551,103152.2071,2365.144692,5179.853603,15795.55329,15036.50122,,
01/01/2022 19:00,790.3540025,4967.778087,304.1429844,1575.059203,16797.1214,5528.808476,1318.500223,458.3668708,4636.442801,3738.212405,25105.72053,5568.352254,28678.08094,30515.22243,6546.006636,1505.435427,3496.590215,5656.587898,6060.917105,17106.74711,1811.542764,16450.70376,33477.86734,2634.077307,92286.94333,2826.621089,5360.832691,15795.55329,13452.67131,,
01/01/2022 20:00,790.3540025,4295.536747,1912.026412,9901.773016,16797.1214,5528.808476,9361.460643,3254.442697,4009.037859,22566.28131,32803.10326,4814.841023,28678.08094,26385.89264,5660.198897,1505.435427,3496.590215,5890.804374,8031.875653,20419.40401,8435.226853,3070.075736,4087.863705,18652.84772,92286.94333,10487.21115,4964.645221,3392.240749,11632.25147,,
