Time,band 1,band 2,band 3,band 4,band 5,band 6,band 7,band 8
00:30:00,0.00780369,0.006609267,0.005345819,0.004816619,0.004728339,0.005171593,0.006037865,0.006308053
01:00:00,0.007354458,0.006219623,0.004965356,0.004415707,0.004264551,0.004621658,0.00543517,0.005796133
01:30:00,0.007092332,0.005940272,0.004729887,0.004093055,0.003965683,0.004291745,0.005201878,0.005563656
02:00:00,0.007295165,0.005885528,0.00468406,0.004052565,0.003890991,0.004219445,0.005059413,0.005454587
02:30:00,0.007283845,0.005877996,0.004665619,0.004036788,0.00389036,0.004182644,0.004987424,0.005436282
03:00:00,0.007283889,0.00597377,0.00480916,0.004183768,0.004037992,0.00435105,0.005302776,0.005703877
03:30:00,0.007689212,0.006276447,0.005132962,0.004505077,0.004443575,0.004656105,0.005540362,0.005874233
04:00:00,0.008100818,0.006757757,0.005720104,0.005171059,0.005144979,0.005542645,0.006277554,0.006651988
04:30:00,0.009104947,0.0079238,0.007069717,0.006587639,0.006619974,0.00709061,0.007647016,0.008151643
05:00:00,0.010760238,0.010451799,0.010233894,0.009947457,0.010486848,0.011121594,0.01132792,0.012038656
05:30:00,0.013428261,0.013996314,0.014697539,0.015190093,0.016629377,0.017718938,0.017283053,0.018186091
06:00:00,0.017739662,0.019879218,0.022010949,0.023570883,0.02623649,0.027882135,0.027527854,0.02812424
06:30:00,0.022578512,0.026205634,0.029788991,0.032916408,0.03650194,0.039194673,0.039479552,0.039502245
07:00:00,0.027080072,0.030516547,0.034629593,0.038257972,0.041776762,0.044226073,0.044044605,0.043872954
07:30:00,0.02808902,0.031165318,0.034668775,0.037739864,0.040696682,0.042345673,0.042817728,0.041999281
08:00:00,0.028374952,0.030149943,0.032151324,0.034128428,0.035787284,0.036763096,0.037652433,0.037219371
08:30:00,0.028418899,0.028666624,0.028914973,0.029438373,0.029938379,0.030271789,0.031376082,0.031609859
09:00:00,0.026830661,0.026489639,0.025174143,0.024500039,0.02389196,0.024377226,0.025935322,0.026440047
09:30:00,0.026269566,0.025150885,0.022738054,0.021059192,0.020039049,0.020444779,0.022299188,0.023201113
10:00:00,0.025589921,0.024018804,0.020965337,0.018556676,0.017174198,0.017394196,0.01929329,0.020180841
10:30:00,0.024452263,0.023095122,0.019702133,0.017016326,0.015251668,0.015425327,0.017490228,0.018655373
11:00:00,0.023750179,0.022512383,0.019044472,0.01616268,0.014276301,0.014451509,0.016225243,0.017462413
11:30:00,0.023597917,0.02221631,0.018908625,0.016028657,0.014111109,0.014260186,0.016051304,0.017446974
12:00:00,0.023509782,0.022337722,0.019408523,0.016802092,0.01491286,0.014869804,0.016803079,0.018366084
12:30:00,0.023355284,0.022345964,0.019571502,0.017226417,0.014976546,0.014626378,0.016297473,0.017800689
13:00:00,0.023111376,0.022310778,0.019631065,0.017366396,0.014805463,0.014287831,0.015525753,0.01686693
13:30:00,0.023170806,0.022462582,0.019892867,0.017527637,0.014748636,0.013988901,0.014696641,0.015691455
14:00:00,0.023252792,0.022720407,0.020272797,0.018051739,0.015116235,0.01398892,0.014177487,0.01501693
14:30:00,0.023892849,0.023454209,0.021370015,0.019220374,0.016247214,0.014460459,0.014236087,0.014992165
15:00:00,0.025139757,0.025163937,0.023906337,0.022122047,0.019025525,0.016435717,0.01573762,0.01629498
15:30:00,0.026438591,0.027086455,0.026869063,0.026004766,0.023075633,0.019976405,0.018930544,0.01966581
16:00:00,0.028508252,0.029961353,0.031346894,0.031790553,0.030138769,0.027143101,0.026387161,0.027344597
16:30:00,0.030295311,0.032248861,0.035060491,0.03681965,0.036701493,0.035098474,0.035492353,0.036963605
17:00:00,0.031318225,0.033621307,0.037306567,0.03982684,0.040844457,0.039771458,0.04037509,0.042172921
17:30:00,0.0312757,0.033428553,0.03704743,0.039442775,0.040834587,0.040303022,0.039118146,0.040162301
18:00:00,0.030759257,0.03300256,0.036459081,0.039013328,0.040919797,0.040541663,0.039238451,0.039588272
18:30:00,0.030279335,0.032246639,0.035533094,0.038163211,0.039978403,0.039848021,0.037957899,0.037015506
19:00:00,0.029803337,0.031320918,0.034280089,0.036842272,0.038589581,0.038267387,0.035663614,0.033701482
19:30:00,0.028834173,0.030264816,0.032793606,0.035057472,0.036564068,0.035956621,0.03277315,0.02962377
20:00:00,0.027756584,0.029023944,0.031166184,0.033187058,0.034829627,0.033930708,0.030547508,0.026891523
20:30:00,0.026664218,0.027536837,0.029284044,0.030903075,0.032362627,0.031567138,0.028005995,0.024276784
21:00:00,0.025098843,0.025419771,0.026754124,0.027837159,0.029203661,0.028863015,0.025321007,0.021739045
21:30:00,0.023117207,0.022672727,0.023573588,0.024143294,0.025052986,0.025068016,0.02212635,0.01908138
22:00:00,0.019660647,0.018721233,0.019135099,0.01922878,0.019950231,0.020616444,0.018926602,0.016577469
22:30:00,0.016266471,0.014433455,0.014265398,0.014104357,0.014453134,0.015318658,0.014775796,0.013420255
23:00:00,0.013057495,0.010804511,0.010282678,0.009977149,0.010069992,0.01085778,0.011126333,0.01047403
23:30:00,0.010412454,0.008400498,0.007755428,0.007284539,0.007168695,0.007936774,0.008534,0.008381712
00:00:00,0.009052773,0.00703096,0.00628255,0.005681695,0.005645287,0.006272617,0.0069326,0.007010395
