Timestamp,Z10 Heat Demand with HPs,Z11 Heat Demand with HPs,Z12 Heat Demand with HPs,Z13 Heat Demand with HPs,Z14 Heat Demand with HPs,Z15 Heat Demand with HPs,Z16 Heat Demand with HPs,Z17 Heat Demand with HPs,Z1_1 Heat Demand with HPs,Z1_2 Heat Demand with HPs,Z1_3 Heat Demand with HPs,Z1_4 Heat Demand with HPs,Z2 Heat Demand with HPs,Z3 Heat Demand with HPs,Z4 Heat Demand with HPs,Z5 Heat Demand with HPs,Z6 Heat Demand with HPs,Z7 Heat Demand with HPs,Z8 Heat Demand with HPs,Z9 Heat Demand with HPs
01/01/2020 19:00,546.8296718,1121.078341,830.5619439,976.4068657,3447.05518,684.3689666,811.6878564,354.9644096,150.3143724,10.7217808,43.45491389,40.46726447,176.9817099,54.11738095,123.3013014,1086.428052,776.4631312,717.3065365,1054.432095,1431.148341
01/01/2020 20:00,546.8296718,1121.078341,830.5619439,968.644356,3419.650826,684.3689666,664.8493444,415.1425799,76.534192,10.32939186,41.86457849,40.37262519,176.5678095,51.16206695,116.5678997,1046.502255,747.9284213,692.9885413,669.098659,1302.202146
01/01/2020 21:00,476.2732007,1121.078341,437.1582848,968.644356,3419.650826,684.3689666,706.9571994,347.3071232,76.534192,9.345276815,37.87600276,34.24391628,149.7641844,46.28768899,105.4620935,1046.502255,747.9284213,627.8531777,924.2007279,1246.489787
01/01/2020 22:00,476.2732007,1121.078341,437.1582848,703.5504762,2483.777407,599.1124704,706.9571994,322.5318476,76.534192,7.5074689,30.42744677,27.70891117,121.1836418,37.18492159,84.72230442,1086.428052,776.4631312,627.8531777,924.2007279,1000.446667
01/01/2020 23:00,476.2732007,981.4179884,437.1582848,574.1961815,2027.111844,684.3689666,664.8493444,265.0539798,76.534192,6.169575268,25.00502174,27.70891117,121.1836418,30.55825813,69.62408248,620.3490425,443.3594651,410.774937,604.6612637,817.1838911
02/01/2020 00:00,214.0122104,981.4179884,437.1582848,574.1961815,2027.111844,599.1124704,717.1809866,201.6966411,76.534192,5.637736294,22.84950138,21.72868802,95.02941233,22.93334638,50.62615952,437.6257316,312.7682917,297.8570176,1085.283276,1709.799228
02/01/2020 01:00,224.3138533,981.4179884,437.1582848,398.0410663,1405.223138,684.3689666,339.9074004,269.2105168,76.534192,6.38001964,25.85794368,28.56785983,124.940214,46.28768899,105.4620935,620.3490425,443.3594651,314.1299652,445.390094,677.7341824
02/01/2020 02:00,244.4671452,981.4179884,437.1582848,398.0410663,1405.223138,599.1124704,370.4460986,230.399013,76.534192,7.389740481,29.95029858,31.13451548,136.1653638,51.16206695,116.5678997,499.9019124,357.276677,727.8601897,485.4057973,742.4363711
02/01/2020 03:00,270.7033885,981.4179884,437.1582848,574.1961815,2027.111844,599.1124704,410.2024182,201.6966411,76.534192,8.323462897,33.73463515,34.39093425,150.4071607,37.18492159,84.72230442,553.5514454,395.6196527,372.5152615,537.4996055,815.8788178
02/01/2020 04:00,270.7033885,1109.080663,437.1582848,530.8925302,1874.234923,599.1124704,339.9074004,281.9648309,150.3143724,7.69392658,31.18315168,31.93993945,139.6878483,33.75594774,74.51742834,611.7854255,437.2391032,372.5152615,594.0449214,815.8788178
02/01/2020 05:00,270.7033885,1109.080663,437.1582848,625.2445895,2207.330445,599.1124704,370.4460986,359.063083,150.3143724,9.071325875,36.76569145,44.46208985,194.452894,33.75594774,74.51742834,611.7854255,437.2391032,481.6038699,699.6206424,815.8788178
02/01/2020 06:00,426.9556857,1109.080663,437.1582848,757.6255052,2674.681031,599.1124704,646.9747414,347.3071232,157.288074,11.00534148,44.60417305,34.39093425,150.4071607,48.28428345,106.5892346,873.0660457,623.9746796,581.1814505,847.7489474,1623.765803
02/01/2020 07:00,426.9556857,981.4179884,437.1582848,824.186698,2909.665147,894.8948273,703.8147108,347.3071232,157.288074,11.76301691,47.67499881,27.70891117,121.1836418,51.60847066,113.9274934,873.0660457,623.9746796,620.8669566,922.2279357,1577.912988
02/01/2020 08:00,447.4223661,981.4179884,484.0741642,793.9432768,2802.895372,894.8948273,677.9883237,347.3071232,157.288074,10.71289184,43.41888734,56.75092599,248.1975507,45.82701861,101.164737,873.0660457,623.9746796,567.2068327,872.3838141,677.7341824
02/01/2020 09:00,381.2572123,981.4179884,484.0741642,676.5343519,2388.40111,894.8948273,577.7269038,359.3173444,150.3143724,8.084154931,32.76473031,50.76103942,222.0010587,37.9082273,83.68372983,611.7854255,437.2391032,536.9296747,876.2172956,1577.912988
02/01/2020 10:00,328.4472305,1109.080663,390.3860987,582.8239493,2057.570859,632.8252309,497.702851,415.1425799,150.3143724,7.864201531,31.8732687,46.26939203,202.3570466,34.50300353,76.16657996,873.0660457,623.9746796,474.3763755,682.7878805,992.3591966
02/01/2020 11:00,302.2833076,1109.080663,390.3860987,536.3965192,1893.665914,632.8252309,458.05612,415.1425799,150.3143724,7.237743632,29.33426192,43.30156852,189.3774076,31.75451355,70.09919276,658.0242574,470.2856985,443.9144818,638.9429234,913.3084175
02/01/2020 12:00,294.4807373,1016.391484,402.6578697,522.5509926,1844.786399,632.8252309,446.2327245,359.3173444,150.3143724,7.864201531,31.8732687,41.7490898,182.5877138,30.93486251,68.2897846,644.3859381,460.5384796,434.713837,584.711115,889.733999
02/01/2020 13:00,289.3861651,1016.391484,402.6578697,513.510762,1812.871247,557.5655683,438.5128143,415.1425799,157.288074,6.928939907,28.08269378,41.7490898,182.5877138,30.93486251,67.10835847,634.987,453.821119,428.3731517,574.5955027,874.3414333
02/01/2020 14:00,295.7664337,1016.391484,404.4158652,489.1563238,1726.891626,557.5655683,448.1809668,359.3173444,157.288074,7.08170636,28.70184961,43.30156852,189.3774076,31.06992345,67.10835847,644.3859381,460.5384796,437.5627114,587.263951,832.8737642
