FES Scenario,Building Block ID Number,Unit,DNO License Area,GSP,Latitude,Longitude,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
Leading the Way,Lct_BB009,Number,ENW,Kearsley 33kV,53.53816,-2.35903,468.5,480.6,498.9,518.6,542.1,530.7,558.5,608.7,667.1,744.4,821.3,932.4,1061.4,1210.6,1453.6,1567.2,1803.4,2031.3,2261.1,2485.3,2597.9,2803.8,2987.4,3146.1,3279.0,3332.0,3433.7,3535.0,3629.5,3652.2,
Leading the Way,Lct_BB009,Number,ENW,Kirkby (_G),53.46933833,-2.849475138,1397.7,1437.5,1490.9,1546.8,1617.1,1592.2,1678.9,1826.0,2002.9,2234.7,2493.9,2832.2,3224.7,3678.0,4417.2,4840.0,5566.5,6269.0,6980.8,7671.5,8105.7,8749.0,9320.2,9819.8,10233.0,10369.4,10685.3,11001.3,11294.6,11365.2,
Leading the Way,Lct_BB009,Number,ENW,Macclesfield,53.26858,-2.12055,4392.8,4516.6,4684.9,4867.8,5085.8,5328.2,5615.7,6109.0,6700.0,7474.0,8065.4,9156.9,10427.4,11894.6,14284.5,15080.0,17343.0,19533.1,21746.5,23902.6,23521.0,25391.1,27048.1,28495.3,29694.3,29230.0,30120.6,31011.6,31840.0,32039.2,
Leading the Way,Lct_BB009,Number,ENW,Ormonde,54.03269168,-2.888958664,176.6,178.6,186.4,194.2,201.5,199.7,210.1,229.2,250.6,279.9,313.2,356.1,405.9,463.2,555.8,613.3,704.3,793.3,884.3,971.2,1028.8,1110.4,1182.7,1246.6,1298.6,1316.4,1356.7,1396.4,1433.8,1442.7,
Leading the Way,Lct_BB009,Number,ENW,Padiham,53.79452687,-2.327436559,1804.7,1858.5,1929.6,2003.6,2095.1,1975.7,2082.0,2264.0,2484.4,2771.7,3094.6,3513.6,4001.6,4563.9,5481.1,5974.3,6871.0,7737.4,8615.8,9469.0,10172.4,10980.6,11696.6,12322.6,12841.6,12964.6,13359.1,13754.1,14122.0,14210.3,
Leading the Way,Lct_BB009,Number,ENW,Penwortham East,53.74431,-2.75511,952.3,982.4,1017.8,1059.2,1106.2,1086.0,1144.3,1244.2,1366.0,1522.9,1719.6,1953.1,2223.3,2536.0,3046.6,3399.8,3909.1,4403.9,4902.1,5388.3,5786.3,6247.5,6654.8,7010.5,7306.3,7386.1,7610.9,7835.7,8046.1,8096.4,
Leading the Way,Lct_BB009,Number,ENW,Penwortham West,53.74431,-2.75511,1213.4,1250.4,1295.9,1346.0,1408.3,1380.2,1455.2,1584.2,1737.3,1937.8,2187.9,2484.5,2828.6,3225.9,3874.0,4323.4,4972.1,5599.6,6234.5,6852.6,7359.9,7945.5,8464.2,8916.3,9291.6,9393.5,9681.4,9966.0,10233.5,10297.5,
Leading the Way,Lct_BB009,Number,ENW,Robin Rigg,54.94152557,-2.964416544,69.1,72.3,74.5,77.2,80.6,78.8,83.7,91.7,99.6,112.2,125.3,143.0,161.8,184.7,222.3,246.8,283.5,319.4,356.1,390.6,415.5,447.2,477.5,502.8,524.3,530.5,547.3,562.5,578.2,581.8,
Leading the Way,Lct_BB009,Number,ENW,Rochdale,53.62167163,-2.215461021,990.7,1016.5,1052.2,1094.5,1142.8,1119.2,1180.2,1283.8,1408.2,1569.8,1732.4,1967.1,2240.0,2554.1,3067.7,3308.9,3806.4,4287.2,4773.0,5246.5,5483.4,5919.0,6304.6,6641.8,6921.6,7034.1,7248.3,7462.9,7661.7,7709.6,
Leading the Way,Lct_BB009,Number,ENW,South Manchester,53.42206813,-2.275115907,2526.6,2594.3,2692.2,2798.0,2922.9,2839.3,2992.3,3255.3,3569.6,3982.1,4384.3,4978.7,5668.4,6467.2,7766.4,8336.5,9588.4,10799.7,12023.8,13215.0,13818.9,14917.9,15891.8,16740.9,17446.8,17657.2,18195.7,18733.8,19233.7,19354.0,
