name,Interconnector Deeside,Interconnector Sellindge,Interconnector Neilston,Interconnector Kemsley,Interconnector Lovedean
2016-01-01 00:00:00,0.39583334,0.549843721875,0.05916666600000001,0.77272725,0.0
2016-01-01 01:00:00,0.11,0.5485937625,0.041666668,0.7959091,0.0
2016-01-01 02:00:00,0.08416667,0.5485937625,0.0575,0.7990909,0.0
2016-01-01 03:00:00,0.02,0.548749989375,0.0,0.7940909,0.0
2016-01-01 04:00:00,0.0,0.548749989375,0.0,0.7945455,0.0
2016-01-01 05:00:00,0.0,0.548749989375,0.0,0.7990909,0.0
2016-01-01 06:00:00,0.0475,0.548749989375,0.0,0.7877273,0.0
2016-01-01 07:00:00,0.20083334,0.539375025,0.0,0.7909091,0.0
2016-01-01 08:00:00,0.4425,0.0829687490625,0.020833334,0.7359091,0.0
2016-01-01 09:00:00,0.47833332,0.3001562484375,0.14416666,0.70954543,0.0
2016-01-01 10:00:00,0.4775,0.62109376875,0.07083333,0.8840909,0.0
2016-01-01 11:00:00,0.29833335,0.6237499865625,0.2325,0.8781818,0.0
2016-01-01 12:00:00,0.041666668,0.6237499865625,0.0,0.8990909,0.0
2016-01-01 13:00:00,0.0,0.6237499865625,0.0,0.9109091,0.0
2016-01-01 14:00:00,0.0,0.623906259375,0.0,0.8868182,0.0
2016-01-01 15:00:00,0.0,0.6237499865625,0.05,0.90363634,0.0
2016-01-01 16:00:00,0.0,0.6237499865625,0.15916666,0.8922727,0.0
2016-01-01 17:00:00,0.0,0.623906259375,0.0,0.88954544,0.0
2016-01-01 18:00:00,0.0,0.6237499865625,0.0,0.9095455,0.0
2016-01-01 19:00:00,0.0,0.623906259375,0.0,0.9118182,0.0
2016-01-01 20:00:00,0.0,0.6237499865625,0.0016666667000000003,0.9077273,0.0
2016-01-01 21:00:00,0.0,0.6237499865625,0.17916666,0.9145455,0.0
2016-01-01 22:00:00,0.0,0.623593753125,0.22916667,0.9104546,0.0
2016-01-01 23:00:00,0.0,0.6237499865625,0.28083333,0.9054545,0.0
2016-01-02 00:00:00,0.0,0.46421874843750005,0.09,0.65818185,0.0
2016-01-02 01:00:00,0.0,0.461249998125,0.11416667,0.6490909,0.0
