Timestamp,Beauly,Peterhead,Errochty,Denny/Bonnybridge,Neilston,Strathaven,Torness,Eccles,Harker,Stella West,Penwortham,Deeside,Daines,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Keadby,Ratcliffe,Feckenham,Walpole,Bramford,Pelham,Sundon/East Claydon,Melksham,Bramley,London,Kemsley,Sellindge,Lovedean,S.W.Penisula
17/08/2050 21:00,7646.067868499999,2760.19098578,5978.95205,14209.471981,9932.942927,14427.386708,3876.83417,2259.8458044,5555.186536,17744.384970000003,21246.867154,8483.652318999999,22757.453241,15120.120109,3526.87140985,6539.122648799999,18768.747594,34951.136021,6414.4985775000005,10136.9036553,10171.2130788,14520.857832,24839.005804,28728.136271000003,108356.49267,12673.489413,2392.4597977,5238.01567427,11709.4919324
17/08/2050 22:00,2988.113089,3736.21324834,1171.0110141,6620.318230999999,9932.942927,14427.386708,15823.797142,14186.352034,5422.6565591,27062.064112999997,25983.555718000003,5171.2971,21433.357796,41570.11976,6592.591601800001,5417.5284942,18768.747594,34951.136021,4735.0182612,10696.7110561,11095.7174128,20668.983412999998,25959.383914000002,19576.538381,50981.5416905,21979.311122,3018.6410917000003,12824.2602962,15991.599244500001
17/08/2050 23:00,2988.113089,3736.21324834,1171.0110141,6620.318230999999,19307.528964,22125.815008,4694.599776399999,3075.2456973,5275.8697063,19956.116618,27112.82389,6074.709652,35979.080241999996,20578.753181,5034.86058461,5427.3047635,32005.72987,34951.136021,4735.0182612,11600.9624702,11095.7174128,18653.322747,50047.50989,28728.136271000003,85760.84132499999,21979.311122,2633.8471573,9066.1782818,15991.599244500001
18/08/2050 00:00,7646.067868499999,4458.234709,1171.0110141,6620.318230999999,19307.528964,22125.815008,2888.4519981,1659.1135271,5275.8697063,11481.432056,21219.120491,4420.372308,35979.080241999996,33484.389534,6510.794338000001,5417.5284942,32005.72987,34951.136021,6473.812740400001,8761.6162617,11095.7174128,10333.997839,24422.228484,28728.136271000003,106292.787185,21979.311122,2602.2486023,5320.4768441,11690.9430077
18/08/2050 01:00,7646.067868499999,3736.21324834,1171.0110141,6620.318230999999,19307.528964,22125.815008,7685.223781999999,6265.061541,4713.7379931000005,13025.2241499,28674.923433000004,13170.098369,35979.080241999996,13107.946499999998,4468.819746030001,5417.5284942,32005.72987,34951.136021,4735.0182612,10696.7110561,11095.7174128,12491.567251999999,24422.228484,36877.273067,43147.0627083,21979.311122,2564.5060483,22557.137959,11690.9430077
18/08/2050 02:00,7301.074826399999,4417.5419647,1353.3503464,7486.2724457,19307.528964,22125.815008,3876.83417,2259.8458044,5336.879951499999,11481.432056,14785.144572000001,6296.780068,17270.640939,8018.0132253,3129.26858681,5417.5284942,32005.72987,34951.136021,4840.8831684,15809.3605615,11095.7174128,12491.567251999999,25959.383914000002,36877.273067,101604.24402499999,22393.152004999996,3340.8391929,10850.3240245,22079.221195
18/08/2050 03:00,7646.067868499999,4165.18946735,1353.3503464,7486.2724457,19307.528964,22125.815008,7685.223781999999,6265.061541,5195.6555339,27062.064112999997,22209.674759999998,6296.780068,17270.640939,7749.0658877000005,2788.3520611400004,5417.5284942,32005.72987,34951.136021,6414.4985775000005,11766.885579599999,11095.7174128,37567.15217,25379.708569,36877.273067,55720.706308,19616.309191999997,4651.2648179,4351.78397142,15688.285403400001
18/08/2050 04:00,3966.5332108,5189.048200599999,1171.0110141,6620.318230999999,19307.528964,22125.815008,3876.83417,2259.8458044,8501.0616995,27062.064112999997,14785.144572000001,6031.902924,35979.080241999996,13107.946499999998,4468.819746030001,5417.5284942,32005.72987,24742.091451,1492.1812353300002,8900.3442645,11095.7174128,37567.15217,23302.489966,14872.358746000002,121051.290482,21979.311122,4713.7920386000005,29855.7862362,21986.516083000002
18/08/2050 05:00,3966.5332108,4165.18946735,5978.95205,14209.471981,19307.528964,22125.815008,2888.4519981,1659.1135271,3101.5818891,12992.18175,25965.728719,2937.3698541000003,35979.080241999996,33484.389534,6510.794338000001,5417.5284942,32005.72987,24742.091451,6495.0661695,15809.3605615,11095.7174128,4155.0277305,30061.956404,14872.358746000002,68113.059343,21979.311122,2209.3756986,29855.7862362,37225.911072999996
18/08/2050 06:00,3966.5332108,3167.26483858,12965.708026,26709.996390999997,13471.207429,22348.448291,7022.617805,6319.0954668,4886.7964152,27107.363337,14785.144572000001,10762.390999,17270.640939,27843.836296,4796.18199464,5417.5284942,32005.72987,24742.091451,13553.1628475,15809.3605615,11095.7174128,20668.983412999998,30061.956404,28728.136271000003,43147.0627083,21979.311122,2583.5595528,22557.137959,31183.451967
