,carrier,type,p_nom,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
West Burton,Coal,Conventional steam,0,Keadby,,1,1,1
Sutton Bridge CCS Gas,CCS Gas,CCS Gas,116.6714,Walpole,100,1,1,1
Baglan Bay CCS Gas,CCS Gas,CCS Gas,74.07708,Melksham,100,1,1,1
Severn Power CCS Gas,CCS Gas,CCS Gas,121.08754,Melksham,100,1,1,1
Blackburn CCS Gas,CCS Gas,CCS Gas,8.547356,Penwortham,100,1,1,1
Damhead Creek CCS Gas,CCS Gas,CCS Gas,114.67702,Kemsley,100,1,1,1
Rye House CCS Gas,CCS Gas,CCS Gas,101.85599,Pelham,100,1,1,1
Shoreham CCS Gas,CCS Gas,CCS Gas,59.83149,Lovedean,100,1,1,1
Castleford CCS Gas,CCS Gas,CCS Gas,7.977532,Thornton/Drax/Eggborough,100,1,1,1
Sandbach CCS Gas,CCS Gas,CCS Gas,7.977532,Daines,100,1,1,1
Thornhill CCS Gas,CCS Gas,CCS Gas,7.1227965,Th. Marsh/Stocksbridge,100,1,1,1
West Burton CCGT CCS Gas,CCS Gas,CCS Gas,189.7513,Keadby,100,1,1,1
South Humber Bank CCS Gas,CCS Gas,CCS Gas,194.45235,Keadby,100,1,1,1
Langage CCS Gas,CCS Gas,CCS Gas,128.9226,S.W.Penisula,100,1,1,1
Corby CCS Gas,CCS Gas,CCS Gas,57.97956,Ratcliffe,100,1,1,1
Carrington CCS Gas,CCS Gas,CCS Gas,129.63489,Daines,100,1,1,1
Fellside CHP* CCS Gas,CCS Gas,CCS Gas,22.08067,Harker,100,1,1,1
Rocksavage CCS Gas,CCS Gas,CCS Gas,115.3893,Deeside,100,1,1,1
Coryton CCS Gas,CCS Gas,CCS Gas,113.964745,Kemsley,100,1,1,1
Spalding CCS Gas,CCS Gas,CCS Gas,135.33313,Walpole,100,1,1,1
Marchwood CCS Gas,CCS Gas,CCS Gas,127.92542,Lovedean,100,1,1,1
Didcot B CCS Gas,CCS Gas,CCS Gas,206.5611,Bramley,100,1,1,1
Great Yarmouth CCS Gas,CCS Gas,CCS Gas,59.83149,Bramford,100,1,1,1
Little Barford CCS Gas,CCS Gas,CCS Gas,102.995636,Sundon/East Claydon,100,1,1,1
Pembroke CCS Gas,CCS Gas,CCS Gas,313.2606,Melksham,100,1,1,1
Staythorpe C CCS Gas,CCS Gas,CCS Gas,252.4319,Ratcliffe,100,1,1,1
Seabank CCS Gas,CCS Gas,CCS Gas,175.79062,Melksham,100,1,1,1
Peterhead CCS Gas,CCS Gas,CCS Gas,168.09799,Peterhead,100,1,1,1
Keadby CCS Gas,CCS Gas,CCS Gas,104.70511,Keadby,100,1,1,1
Medway CCS Gas,CCS Gas,CCS Gas,107.55422,Kemsley,100,1,1,1
Saltend* CCS Gas,CCS Gas,CCS Gas,170.94711,Keadby,100,1,1,1
Cottam Development Centre CCS Gas,CCS Gas,CCS Gas,63.392887,Keadby,100,1,1,1
Enfield CCS Gas,CCS Gas,CCS Gas,58.122017,London,100,1,1,1
Grain CHP* CCS Gas,CCS Gas,CCS Gas,216.10564,Kemsley,100,1,1,1
VPI Immingham* CCS Gas,CCS Gas,CCS Gas,178.35481,Keadby,100,1,1,1
Connahs Quay CCS Gas,CCS Gas,CCS Gas,196.58917,Deeside,100,1,1,1
Aberthaw Power Station Biomass,Biomass (co-firing),Biomass (co-firing),2.8,Melksham,44,1,1,0.73
Drax Biomass Power Station - Unit 1,Biomass (co-firing),Biomass (co-firing),51.6,Thornton/Drax/Eggborough,44,1,1,0.73
Thetford Biomass Power Station,Biomass (dedicated),Biomass (dedicated),36.61466354,Walpole,44,1,1,0.73
Chilton Energy Plant,Biomass (dedicated),Biomass (dedicated),17.11854399,Stella West,44,1,1,0.73
Double H Nurseries Biomass Plant,Biomass (dedicated),Biomass (dedicated),1.426545333,S.W.Penisula,44,1,1,0.73
Beckton STW Biodiesel Power Plant,Biomass (dedicated),Biomass (dedicated),7.608241774,London,44,1,1,0.73
Buslingthorpe Power Station (Leeds North),Biomass (dedicated),Biomass (dedicated),1.902060444,Thornton/Drax/Eggborough,44,1,1,0.73
Invergordon Pellet Mill,Biomass (dedicated),Biomass (dedicated),1.123312117,Beauly,44,1,1,0.73
Caledonian Papermill,Biomass (dedicated),Biomass (dedicated),5.84122301,Neilston,44,1,1,0.73
Wilton International,Biomass (dedicated),Biomass (dedicated),33.47626381,Stella West,44,1,1,0.73
South View Farm,Biomass (dedicated),Biomass (dedicated),1.902060444,Thornton/Drax/Eggborough,44,1,1,0.73
Cowie Biomass Facility,Biomass (dedicated),Biomass (dedicated),3.369936352,Denny/Bonnybridge,44,1,1,0.73
Thornton Power Station,Biomass (dedicated),Biomass (dedicated),8.559271996,Penwortham,44,1,1,0.73
Iggesund Paperboard CHP Plant,Biomass (dedicated),Biomass (dedicated),46.60048087,Harker,44,1,1,0.73
Goosey Lodge Industrial Estate,Biomass (dedicated),Biomass (dedicated),15.21648355,Sundon/East Claydon,44,1,1,0.73
Western Wood Energy Plant,Biomass (dedicated),Biomass (dedicated),13.3144231,Melksham,44,1,1,0.73
Eccleshall Biomass,Biomass (dedicated),Biomass (dedicated),2.472678577,Daines,44,1,1,0.73
Westfield Biomass Power Station,Biomass (dedicated),Biomass (dedicated),2.808280293,Denny/Bonnybridge,44,1,1,0.73
Derriford Hospital,Biomass (dedicated),Biomass (dedicated),1.426545333,S.W.Penisula,44,1,1,0.73
Rampton Hospital Energy Centre,Biomass (dedicated),Biomass (dedicated),1.141236266,Keadby,44,1,1,0.73
Elean Business Park Biomass Plant,Biomass (dedicated),Biomass (dedicated),38.04120887,Walpole,44,1,1,0.73
Eye Biomass Plant,Biomass (dedicated),Biomass (dedicated),13.59973217,Bramford,44,1,1,0.73
King's Yard,Biomass (dedicated),Biomass (dedicated),2.853090665,London,44,1,1,0.73
Ridham CHP Plant,Biomass (dedicated),Biomass (dedicated),23.77575554,Kemsley,44,1,1,0.73
Margam Green Energy Plant,Biomass (dedicated),Biomass (dedicated),38.04120887,Melksham,44,1,1,0.73
Lynemouth Power Station,Biomass (dedicated),Biomass (dedicated),399.4326931,Stella West,44,1,1,0.73
Holbrook Community Renewable Energy Centre,Biomass (dedicated),Biomass (dedicated),6.181696442,Th. Marsh/Stocksbridge,44,1,1,0.73
Cramlington CHP,Biomass (dedicated),Biomass (dedicated),26.34353714,Stella West,44,1,1,0.73
Markley Group (Premiere Kitckens) Biomass,Biomass (dedicated),Biomass (dedicated),1.997163466,Melksham,44,1,1,0.73
Heathrow Airport Biomass CHP,Biomass (dedicated),Biomass (dedicated),1.711854399,London,44,1,1,0.73
Bentwaters CHP,Biomass (dedicated),Biomass (dedicated),4.37473902,Bramford,44,1,1,0.73
