,carrier,type,p_nom,bus,marginal_cost,ramp_limit_up,ramp_limit_down,p_max_pu
West Burton,Coal,Conventional steam,0,Keadby,,1,1,1
Sutton Bridge CCS Gas,CCS Gas,CCS Gas,91.729774,Walpole,100,1,1,1
Baglan Bay CCS Gas,CCS Gas,CCS Gas,58.241127,Melksham,100,1,1,1
Severn Power CCS Gas,CCS Gas,CCS Gas,95.20184,Melksham,100,1,1,1
Blackburn CCS Gas,CCS Gas,CCS Gas,6.72013,Penwortham,100,1,1,1
Damhead Creek CCS Gas,CCS Gas,CCS Gas,90.16174,Kemsley,100,1,1,1
Rye House CCS Gas,CCS Gas,CCS Gas,80.08155,Pelham,100,1,1,1
Shoreham CCS Gas,CCS Gas,CCS Gas,47.04091,Lovedean,100,1,1,1
Castleford CCS Gas,CCS Gas,CCS Gas,6.2721214,Thornton/Drax/Eggborough,100,1,1,1
Sandbach CCS Gas,CCS Gas,CCS Gas,6.2721214,Daines,100,1,1,1
Thornhill CCS Gas,CCS Gas,CCS Gas,5.600108,Th. Marsh/Stocksbridge,100,1,1,1
West Burton CCGT CCS Gas,CCS Gas,CCS Gas,149.18689,Keadby,100,1,1,1
South Humber Bank CCS Gas,CCS Gas,CCS Gas,152.88295,Keadby,100,1,1,1
Langage CCS Gas,CCS Gas,CCS Gas,101.36196,S.W.Penisula,100,1,1,1
Corby CCS Gas,CCS Gas,CCS Gas,45.58488,Ratcliffe,100,1,1,1
Carrington CCS Gas,CCS Gas,CCS Gas,101.921974,Daines,100,1,1,1
Fellside CHP* CCS Gas,CCS Gas,CCS Gas,17.360336,Harker,100,1,1,1
Rocksavage CCS Gas,CCS Gas,CCS Gas,90.721756,Deeside,100,1,1,1
Coryton CCS Gas,CCS Gas,CCS Gas,89.60173,Kemsley,100,1,1,1
Spalding CCS Gas,CCS Gas,CCS Gas,106.402054,Walpole,100,1,1,1
Marchwood CCS Gas,CCS Gas,CCS Gas,100.57794,Lovedean,100,1,1,1
Didcot B CCS Gas,CCS Gas,CCS Gas,162.40314,Bramley,100,1,1,1
Great Yarmouth CCS Gas,CCS Gas,CCS Gas,47.04091,Bramford,100,1,1,1
Little Barford CCS Gas,CCS Gas,CCS Gas,80.97756,Sundon/East Claydon,100,1,1,1
Pembroke CCS Gas,CCS Gas,CCS Gas,246.29276,Melksham,100,1,1,1
Staythorpe C CCS Gas,CCS Gas,CCS Gas,198.46783,Ratcliffe,100,1,1,1
Seabank CCS Gas,CCS Gas,CCS Gas,138.21068,Melksham,100,1,1,1
Peterhead CCS Gas,CCS Gas,CCS Gas,132.16255,Peterhead,100,1,1,1
Keadby CCS Gas,CCS Gas,CCS Gas,82.321594,Keadby,100,1,1,1
Medway CCS Gas,CCS Gas,CCS Gas,84.56164,Kemsley,100,1,1,1
Saltend* CCS Gas,CCS Gas,CCS Gas,134.4026,Keadby,100,1,1,1
Cottam Development Centre CCS Gas,CCS Gas,CCS Gas,49.840965,Keadby,100,1,1,1
Enfield CCS Gas,CCS Gas,CCS Gas,45.696884,London,100,1,1,1
Grain CHP* CCS Gas,CCS Gas,CCS Gas,169.90729,Kemsley,100,1,1,1
VPI Immingham* CCS Gas,CCS Gas,CCS Gas,140.22672,Keadby,100,1,1,1
Connahs Quay CCS Gas,CCS Gas,CCS Gas,154.56299,Deeside,100,1,1,1
Aberthaw Power Station Biomass,Biomass (co-firing),Biomass (co-firing),8.75,Melksham,44,1,1,0.73
Drax Biomass Power Station - Unit 1,Biomass (co-firing),Biomass (co-firing),161.25,Thornton/Drax/Eggborough,44,1,1,0.73
Thetford Biomass Power Station,Biomass (dedicated),Biomass (dedicated),35.98826432,Walpole,44,1,1,0.73
Chilton Energy Plant,Biomass (dedicated),Biomass (dedicated),16.82568202,Stella West,44,1,1,0.73
Double H Nurseries Biomass Plant,Biomass (dedicated),Biomass (dedicated),1.402140168,S.W.Penisula,44,1,1,0.73
Beckton STW Biodiesel Power Plant,Biomass (dedicated),Biomass (dedicated),7.478080898,London,44,1,1,0.73
Buslingthorpe Power Station (Leeds North),Biomass (dedicated),Biomass (dedicated),1.869520225,Thornton/Drax/Eggborough,44,1,1,0.73
Invergordon Pellet Mill,Biomass (dedicated),Biomass (dedicated),5.250623375,Beauly,44,1,1,0.73
Caledonian Papermill,Biomass (dedicated),Biomass (dedicated),27.30324155,Neilston,44,1,1,0.73
Wilton International,Biomass (dedicated),Biomass (dedicated),32.90355595,Stella West,44,1,1,0.73
South View Farm,Biomass (dedicated),Biomass (dedicated),1.869520225,Thornton/Drax/Eggborough,44,1,1,0.73
Cowie Biomass Facility,Biomass (dedicated),Biomass (dedicated),15.75187013,Denny/Bonnybridge,44,1,1,0.73
Thornton Power Station,Biomass (dedicated),Biomass (dedicated),8.412841011,Penwortham,44,1,1,0.73
Iggesund Paperboard CHP Plant,Biomass (dedicated),Biomass (dedicated),45.8032455,Harker,44,1,1,0.73
Goosey Lodge Industrial Estate,Biomass (dedicated),Biomass (dedicated),14.9561618,Sundon/East Claydon,44,1,1,0.73
Western Wood Energy Plant,Biomass (dedicated),Biomass (dedicated),13.08664157,Melksham,44,1,1,0.73
Eccleshall Biomass,Biomass (dedicated),Biomass (dedicated),2.430376292,Daines,44,1,1,0.73
Westfield Biomass Power Station,Biomass (dedicated),Biomass (dedicated),13.12655844,Denny/Bonnybridge,44,1,1,0.73
Derriford Hospital,Biomass (dedicated),Biomass (dedicated),1.402140168,S.W.Penisula,44,1,1,0.73
Rampton Hospital Energy Centre,Biomass (dedicated),Biomass (dedicated),1.121712135,Keadby,44,1,1,0.73
Elean Business Park Biomass Plant,Biomass (dedicated),Biomass (dedicated),37.39040449,Walpole,44,1,1,0.73
Eye Biomass Plant,Biomass (dedicated),Biomass (dedicated),13.36706961,Bramford,44,1,1,0.73
King's Yard,Biomass (dedicated),Biomass (dedicated),2.804280337,London,44,1,1,0.73
Ridham CHP Plant,Biomass (dedicated),Biomass (dedicated),23.36900281,Kemsley,44,1,1,0.73
Margam Green Energy Plant,Biomass (dedicated),Biomass (dedicated),37.39040449,Melksham,44,1,1,0.73
Lynemouth Power Station,Biomass (dedicated),Biomass (dedicated),392.5992472,Stella West,44,1,1,0.73
Holbrook Community Renewable Energy Centre,Biomass (dedicated),Biomass (dedicated),6.07594073,Th. Marsh/Stocksbridge,44,1,1,0.73
Cramlington CHP,Biomass (dedicated),Biomass (dedicated),25.89285511,Stella West,44,1,1,0.73
Markley Group (Premiere Kitckens) Biomass,Biomass (dedicated),Biomass (dedicated),1.962996236,Melksham,44,1,1,0.73
Heathrow Airport Biomass CHP,Biomass (dedicated),Biomass (dedicated),1.682568202,London,44,1,1,0.73
Bentwaters CHP,Biomass (dedicated),Biomass (dedicated),4.299896517,Bramford,44,1,1,0.73
SAICA Paper Mill,Biomass (dedicated),Biomass (dedicated),38.88602067,Daines,44,1,1,0.73
Eco Composting,Biomass (dedicated),Biomass (dedicated),2.991232359,S.W.Penisula,44,1,1,0.73
Rothes Bio-Plant,Biomass (dedicated),Biomass (dedicated),8.716034803,Beauly,44,1,1,0.73
Beckton Gas Pressure Reduction Station,Biomass (dedicated),Biomass (dedicated),17.76044213,London,44,1,1,0.73
Brigg Renewable Energy Plant (Re-submission),Biomass (dedicated),Biomass (dedicated),37.39040449,Keadby,44,1,1,0.73
Tilbury Green Power,Biomass (dedicated),Biomass (dedicated),40.19468483,Kemsley,44,1,1,0.73
Markinch Biomass CHP Plant,Biomass (dedicated),Biomass (dedicated),68.25810388,Denny/Bonnybridge,44,1,1,0.73
Templeborough Biomass Power Plant- Rotherham,Biomass (dedicated),Biomass (dedicated),39.25992472,Th. Marsh/Stocksbridge,44,1,1,0.73
Blackburn Meadows Biomass Plant,Biomass (dedicated),Biomass (dedicated),28.04280337,Th. Marsh/Stocksbridge,44,1,1,0.73
Diageo Biomass Energy Project,Biomass (dedicated),Biomass (dedicated),5.775685713,Denny/Bonnybridge,44,1,1,0.73
Discovery Park,Biomass (dedicated),Biomass (dedicated),14.9561618,Sellindge,44,1,1,0.73
Drax Biomass Power Station - Unit 3,Biomass (dedicated),Biomass (dedicated),602.9202724,Thornton/Drax/Eggborough,44,1,1,0.73
King George Dock,Biomass (dedicated),Biomass (dedicated),8.412841011,Keadby,44,1,1,0.73
Northampton General Hospital,Biomass (dedicated),Biomass (dedicated),1.776044213,Sundon/East Claydon,44,1,1,0.73
Snetterton Biomass Plant,Biomass (dedicated),Biomass (dedicated),41.31639696,Bramford,44,1,1,0.73
Speyside Biomass CHP Plant,Biomass (dedicated),Biomass (dedicated),13.12655844,Beauly,44,1,1,0.73
Widnes 3MG Biomass/Mersey Bioenergy (CHP) Plant,Biomass (dedicated),Biomass (dedicated),18.69520225,Deeside,44,1,1,0.73
Drax Biomass Power Station - Unit 2,Biomass (dedicated),Biomass (dedicated),602.9202724,Thornton/Drax/Eggborough,44,1,1,0.73
Stevens Croft,Biomass (dedicated),Biomass (dedicated),47.11190966,Harker,44,1,1,0.73
Macphie of Glenbervie,Biomass (dedicated),Biomass (dedicated),1.26014961,Peterhead,44,1,1,0.73
Sleaford Renewable Energy Plant,Biomass (dedicated),Biomass (dedicated),37.39040449,Ratcliffe,44,1,1,0.73
Sustainable Power and Research Campus,Biomass (dedicated),Biomass (dedicated),6.825810388,Torness,44,1,1,0.73
Whitemoor,Biomass (dedicated),Biomass (dedicated),16.82568202,Thornton/Drax/Eggborough,44,1,1,0.73
Daventry,Biomass (dedicated),Biomass (dedicated),0.934760112,Sundon/East Claydon,44,1,1,0.73
The Sawmill,Biomass (dedicated),Biomass (dedicated),6.356368764,Ratcliffe,44,1,1,0.73
Felinfach,Biomass (dedicated),Biomass (dedicated),2.991232359,Deeside,44,1,1,0.73
