name,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus,standing_loss,capital_cost,p_nom_extendable,,,,,,,,,,,,,,,,,,,,
Thornton/Drax/Eggborough Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Thornton/Drax/Eggborough,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Keadby Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Keadby,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Ratcliffe Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Ratcliffe,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Feckenham Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Feckenham,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Walpole Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Walpole,0,0,FALSE,,,,,,,,,STES_Beauly,500,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 1,0.1,1000,TRUE
Bramford Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Bramford,0,0,FALSE,,,,,,,,,STES_Peterhead,500,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 2,0.1,1000,TRUE
Pelham Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Pelham,0,0,FALSE,,,,,,,,,STES_Errochty,500,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 3,0.1,1000,TRUE
Sundon/East Claydon Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Sundon/East Claydon,0,0,FALSE,,,,,,,,,STES_Denny/BonnyBdige,501,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 4,0.1,1000,TRUE
Melksham Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Melksham,0,0,FALSE,,,,,,,,,STES_Neilston,502,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 5,0.1,1000,TRUE
Bramley Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Bramley,0,0,FALSE,,,,,,,,,STES_Strathaven,503,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 6,0.1,1000,TRUE
London Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,London,0,0,FALSE,,,,,,,,,STES_Torness,504,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 7,0.1,1000,TRUE
Kemsley Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Kemsley,0,0,FALSE,,,,,,,,,STES_Eccles,505,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 8,0.1,1000,TRUE
Sellindge Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Sellindge,0,0,FALSE,,,,,,,,,STES_Harker,506,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 9,0.1,1000,TRUE
Lovedean Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,Lovedean,0,0,FALSE,,,,,,,,,STES_Stella West,507,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 10,0.1,1000,TRUE
S.W.Penisula Battery,906.7841711,Battery,0,1.74142583,0.95,0.95,1579.097378,S.W.Penisula,0,0,FALSE,,,,,,,,,STES_Penwortham,508,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 11,0.1,1000,TRUE
Beauly Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Beauly,0,0,FALSE,,,,,,,,,STES_Deeside,508,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 12,0.1,1000,TRUE
Peterhead Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Peterhead,0,0,FALSE,,,,,,,,,STES_Daines,509,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 13,0.1,1000,TRUE
Errochty Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Errochty,0,0,FALSE,,,,,,,,,STES_Marsh_Stocksbridge,510,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 14,0.1,1000,TRUE
Denny/Bonnybridge Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Denny/Bonnybridge,0,0,FALSE,,,,,,,,,STES_Thornton_Drax_Eggborough,511,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 15,0.1,1000,TRUE
Neilston Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Neilston,0,0,FALSE,,,,,,,,,STES_Keadby,512,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 16,0.1,1000,TRUE
Strathaven Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Strathaven,0,0,FALSE,,,,,,,,,STES_Ratcliffe,513,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 17,0.1,1000,TRUE
Torness Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Torness,0,0,FALSE,,,,,,,,,STES_Feckenham,514,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 18,0.1,1000,TRUE
Eccles Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Eccles,0,0,FALSE,,,,,,,,,STES_Walpole,515,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 19,0.1,1000,TRUE
Harker Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Harker,0,0,FALSE,,,,,,,,,STES_Bramford,516,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 20,0.1,1000,TRUE
Stella West Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Stella West,0,0,FALSE,,,,,,,,,STES_Pelham,500,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 21,0.1,1000,TRUE
Penwortham Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Penwortham,0,0,FALSE,,,,,,,,,STES_Sundon_East_Claydon,501,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 22,0.1,1000,TRUE
Deeside Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Deeside,0,0,FALSE,,,,,,,,,STES_Melksham,502,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 23,0.1,1000,TRUE
Daines Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Daines,0,0,FALSE,,,,,,,,,STES_Bramley,503,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 24,0.1,1000,TRUE
Th. Marsh/Stocksbridge Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Th. Marsh/Stocksbridge,0,0,FALSE,,,,,,,,,STES_London,504,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 25,0.1,1000,TRUE
Thornton/Drax/Eggborough Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Thornton/Drax/Eggborough,0,0,FALSE,,,,,,,,,STES_Kemsley,505,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 26,0.1,1000,TRUE
Keadby Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Keadby,0,0,FALSE,,,,,,,,,STES_Sellindge,506,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 27,0.1,1000,TRUE
Ratcliffe Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Ratcliffe,0,0,FALSE,,,,,,,,,STES_Lovedean,507,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 28,0.1,1000,TRUE
Feckenham Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Feckenham,0,0,FALSE,,,,,,,,,STES_S_W_Penisula,508,Seasonal Thermal Energy Storage,0,2880,0.9,0.95,1440000,Heat Bus 29,0.1,1000,TRUE
Walpole Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Walpole,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Bramford Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Bramford,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Pelham Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Pelham,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Sundon/East Claydon Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Sundon/East Claydon,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Melksham Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Melksham,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Bramley Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Bramley,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
London Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,London,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
Kemsley Compressed Air,172.5275862,Compressed Air,0,4.999340435,0.69,0.69,862.5241379,Kemsley,0,0,FALSE,,,,,,,,,,,,,,,,,,,,
