name,Beauly,Peterhead,Errochty,Denny/Bonnybridge,Neilston,Strathaven,Torness,Eccles,Harker,Stella West,Penwortham,Deeside,Daines,Th. Marsh/Stocksbridge,Thornton/Drax/Eggborough,Keadby,Ratcliffe,Feckenham,Walpole,Bramford,Pelham,Sundon/East Claydon,Melksham,Bramley,London,Kemsley,Sellindge,Lovedean,S.W.Penisula
13/10/2035 18:00,346.4240786,517.0826453,162.9673752,1337.156634,1648.309137,486.2709558,420.3251656,128.4638361,505.4086165,2550.399629,1419.604197,2996.6953,2562.247686,2448.008168,1865.339581,717.9619629,1937.063903,4186.491904,1017.126104,1310.236049,805.3898407,3192.616232,4119.289483,1322.135749,8626.713185,1394.827128,846.9662764,1933.304614,2655.889639
13/10/2035 19:00,350.8467506,523.6840539,165.0479213,1354.227633,1669.352508,492.4790027,425.6913062,130.1038878,511.8609871,2582.959667,1437.727774,3034.953034,2594.958983,2479.26101,1889.153703,727.1279257,1961.793703,4239.939345,1030.111388,1326.963363,815.6719639,3233.375219,4171.878974,1339.014982,8736.847338,1412.634386,857.779191,1957.98642,2689.796429
13/10/2035 20:00,340.1861126,507.7716758,160.0328651,1313.078811,1618.628473,477.5148043,412.7564823,126.150622,496.3078582,2504.475263,1394.041762,2942.734606,2516.109975,2403.927537,1831.750909,705.0338131,1902.183709,4111.10686,998.8109853,1286.642978,790.8874004,3135.127642,4045.114535,1298.328403,8471.374259,1369.710848,831.7151803,1898.492113,2608.065742
13/10/2035 21:00,302.6173156,451.6953979,142.359474,1168.067626,1439.873603,424.7799745,367.1733032,112.2190507,441.4975986,2227.891007,1240.089352,2617.750737,2238.240828,2138.447371,1629.459647,627.1726918,1692.11413,3657.092621,888.5062852,1144.551261,703.5449515,2788.896654,3598.388225,1154.946194,7535.829486,1218.445447,739.8638742,1688.830218,2320.041367
13/10/2035 22:00,257.3563735,384.1376007,121.0674872,993.3656561,1224.518987,361.2477811,312.2570484,95.43501455,375.4650347,1894.676612,1054.615457,2226.226993,1903.478462,1818.610608,1385.749605,533.3696428,1439.033174,3110.119766,755.6168918,973.366515,598.3192897,2371.77548,3060.195489,982.2067303,6408.733565,1036.208721,629.2061748,1436.24042,1973.044508
13/10/2035 23:00,232.626635,347.2252744,109.4339408,897.9117428,1106.853223,326.53497,282.2518262,86.26452879,339.3860675,1712.614452,953.2759632,2012.305687,1720.57052,1643.857738,1252.590962,482.1173981,1300.754437,2811.263951,683.0085941,879.8343475,540.8259414,2143.868214,2766.136969,887.825094,5792.909277,936.6379568,568.744862,1298.230043,1783.451866
14/10/2035 00:00,205.8930251,307.3219116,96.85771848,794.7231196,979.6529037,289.009351,249.815256,76.35095094,300.3835917,1515.799644,843.7248464,1781.05016,1522.841395,1454.944498,1108.642364,426.7121415,1151.27086,2488.191601,604.5167857,778.7231907,478.6738594,1897.493433,2448.250642,785.7956352,5127.184235,828.9988909,503.3843187,1149.036571,1578.496375
14/10/2035 01:00,179.1698917,267.4341862,84.28642455,691.574934,852.5024319,251.4984375,217.3913969,66.44125804,261.3964002,1319.061963,734.2166606,1549.885257,1325.189756,1266.105289,964.7501758,371.3285971,1001.845862,2165.245857,526.0557367,677.6516574,416.5461335,1651.215201,2130.488889,683.8061598,4461.720077,721.4020067,438.049389,999.9015645,1373.621201
14/10/2035 02:00,166.5937998,248.662746,78.37028647,643.0326826,792.6645384,233.8455415,202.1325041,61.77768785,243.0487575,1226.475847,682.6813491,1441.097451,1232.173525,1177.236248,897.0335146,345.2647171,931.525422,2013.265351,489.131423,630.0866931,387.308395,1535.314957,1980.948005,635.8092056,4148.548031,670.766167,407.3023181,929.7175965,1277.205524
14/10/2035 03:00,164.2775477,245.2054409,77.28065806,634.0922192,781.6436548,230.5942487,199.3221364,60.91875614,239.669507,1209.423428,673.1896268,1421.061022,1215.041888,1160.868437,884.5615275,340.4642977,918.5738734,1985.273733,482.3307397,621.3262254,381.9234174,1513.968566,1953.405714,626.9691744,4090.868316,661.4401085,401.6393533,916.7911833,1259.447781
