name,bus0,bus1,carrier,p_nom,marginal_cost,ramp_limit_up,ramp_limit_down,p_nom_min,p_nom_max
heat pump Beauly,Beauly,Heat Bus 1,heat,10000,0,1,1,0,10000
heat pump Peterhead,Peterhead,Heat Bus 2,heat,10000,0,1,1,0,10000
heat pump Errochty,Errochty,Heat Bus 3,heat,10000,0,1,1,0,10000
heat pump Denny/Bonnybridge,Denny/Bonnybridge,Heat Bus 4,heat,10000,0,1,1,0,10000
heat pump Neilston,Neilston,Heat Bus 5,heat,10000,0,1,1,0,10000
heat pump Strathaven,Strathaven,Heat Bus 6,heat,10000,0,1,1,0,10000
heat pump Torness,Torness,Heat Bus 7,heat,10000,0,1,1,0,10000
heat pump Eccles,Eccles,Heat Bus 8,heat,10000,0,1,1,0,10000
heat pump Harker,Harker,Heat Bus 9,heat,10000,0,1,1,0,10000
heat pump Stella West,Stella West,Heat Bus 10,heat,10000,0,1,1,0,10000
heat pump Penwortham,Penwortham,Heat Bus 11,heat,10000,0,1,1,0,10000
heat pump Deeside,Deeside,Heat Bus 12,heat,10000,0,1,1,0,10000
heat pump Daines,Daines,Heat Bus 13,heat,10000,0,1,1,0,10000
heat pump Th. Marsh/Stocksbridge,Th. Marsh/Stocksbridge,Heat Bus 14,heat,10000,0,1,1,0,10000
heat pump Thornton/Drax/Eggborough,Thornton/Drax/Eggborough,Heat Bus 15,heat,10000,0,1,1,0,10000
heat pump Keadby,Keadby,Heat Bus 16,heat,10000,0,1,1,0,10000
heat pump Ratcliffe,Ratcliffe,Heat Bus 17,heat,10000,0,1,1,0,10000
heat pump Feckenham,Feckenham,Heat Bus 18,heat,10000,0,1,1,0,10000
heat pump Walpole,Walpole,Heat Bus 19,heat,10000,0,1,1,0,10000
heat pump Bramford,Bramford,Heat Bus 20,heat,10000,0,1,1,0,10000
heat pump Pelham,Pelham,Heat Bus 21,heat,10000,0,1,1,0,10000
heat pump Sundon/East Claydon,Sundon/East Claydon,Heat Bus 22,heat,10000,0,1,1,0,10000
heat pump Melksham,Melksham,Heat Bus 23,heat,10000,0,1,1,0,10000
heat pump Bramley,Bramley,Heat Bus 24,heat,10000,0,1,1,0,10000
heat pump London,London,Heat Bus 25,heat,10000,0,1,1,0,10000
heat pump Kemsley,Kemsley,Heat Bus 26,heat,10000,0,1,1,0,10000
heat pump Sellindge,Sellindge,Heat Bus 27,heat,10000,0,1,1,0,10000
heat pump Lovedean,Lovedean,Heat Bus 28,heat,10000,0,1,1,0,10000
heat pump S.W.Penisula,S.W.Penisula,Heat Bus 29,heat,10000,0,1,1,0,10000
