,heat pump Beauly,heat pump Peterhead,heat pump Errochty,heat pump Denny/Bonnybridge,heat pump Neilston,heat pump Strathaven,heat pump Torness,heat pump Eccles,heat pump Harker,heat pump Stella West,heat pump Penwortham,heat pump Deeside,heat pump Daines,heat pump Th. Marsh/Stocksbridge,heat pump Thornton/Drax/Eggborough,heat pump Keadby,heat pump Ratcliffe,heat pump Feckenham,heat pump Walpole,heat pump Bramford,heat pump Pelham,heat pump Sundon/East Claydon,heat pump Melksham,heat pump Bramley,heat pump London,heat pump Kemsley,heat pump Sellindge,heat pump Lovedean,heat pump S.W.Penisula
0,-6862.13484,-23637.878343710207,-585.8871317683601,-4715.680044768543,-4717.654304294696,-8716.949757768543,-2070.365048768398,-1099.24249176836,-990.0512387683598,-7068.0003317683595,-4241.8210461587,-0.0,-0.0,-0.0,-0.0,-996.2924240280934,-0.0,-0.0,-18560.559771349617,-10786.220785940031,-7118.880462439188,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,-6862.13484,-23709.210768710203,-585.8871317683597,-4715.68004476836,-4717.654304294696,-8716.94975776836,-2388.63467976836,-1159.2962087683597,-1048.7488537683603,-7314.545486768359,-4722.998476388368,-0.0,-0.0,-0.0,-2629.45126876836,-2787.56715976836,-0.0,-0.0,-18585.67124034961,-8769.73332760741,-7118.880462439187,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2,-6862.13484,-23884.896092710205,-671.1936957683599,-6120.50091276836,-4717.654304294696,-8716.94975776836,-2712.2008417683596,-1264.6456407683597,-990.0512387683599,-9499.92880476836,-5701.522722591621,-0.0,-0.0,-3540.498098818734,-2629.45126876836,-2787.56715976836,-0.0,-0.0,-18793.929690349618,-9560.6879950904,-7118.880462439192,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3,-6991.06848,-24125.94784571021,-853.5330277683598,-6986.455127768361,-5181.376028294696,-12922.801301768359,-3177.2264477683593,-1557.24815176836,-1472.08149676836,-10861.573601768358,-4995.426481681813,-0.0,-0.0,-4069.5441613100115,-2629.45126876836,-2787.56715976836,-0.0,-0.0,-19148.565761349615,-10691.192654828577,-7118.880462439179,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
4,-7377.8694000000005,-24500.027024710205,-853.5330277683602,-6986.455127768359,-5181.376028294696,-12922.801301768362,-4194.78245776836,-2575.42837876836,-2013.2785237683604,-7314.545486768359,-5024.242529252124,-0.0,-0.0,-8101.65536140941,-3969.00242776836,-2787.56715976836,-0.0,-0.0,-20072.661895349618,-9616.957446994727,-7118.880462439187,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5,-7248.935759999999,-25930.455377710205,-853.5330277683602,-6986.455127768359,-5181.376028294696,-12922.801301768359,-6709.4997117683615,-5511.09170676836,-3712.67985576836,-9499.92880476836,-4616.417714718971,-0.0,-0.0,-7385.513496772949,-3969.00242776836,-7594.965834768361,-0.0,-0.0,-23052.123441349617,-8879.390231236546,-13372.036365439188,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
6,-7764.67032,-27291.89806871021,-7.250278978683449,-5275.913769702509,-17453.886868705304,-20915.53147004158,-0.0,-0.0,-5993.65737276836,-24182.24544148213,-2069.0883297588844,-0.0,-0.0,-0.0,-0.0,-7594.965834768361,-0.0,-0.0,-23052.123441349617,-9568.553486452498,-7118.880462439187,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
7,-7893.6039599999995,-27207.955312710204,-298.95703013141673,-5922.378480015281,-17453.886868705304,-18655.765280653068,-2712.20084176836,-1264.64564076836,-4706.007367700955,-24292.49645827972,-2236.944399962999,-0.0,-0.0,-0.0,-0.0,-7594.965834768361,-0.0,-0.0,-26682.65647934961,-9455.497955022991,-11865.080162117372,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
8,-7893.6039599999995,-26184.096578710207,-0.0,-12847.455391464931,-14025.708973647692,-15300.156437887465,-8334.957267768359,-7049.5409577683595,-4213.92067476836,-15138.697068636928,-2106.3725601954866,-0.0,-0.0,-0.0,-0.0,-7594.965834768361,-0.0,-0.0,-23962.435260349615,-10051.800380716028,-11119.786666615957,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
9,-8022.5376,-25277.5650877102,-196.87819926452806,-13709.65466176836,-8079.300835705305,-13927.569391768362,-6065.42620476836,-4870.54178376836,-3003.9639757683594,-15851.878261768357,-2179.9171654467777,-0.0,-0.0,-0.0,-0.0,-4087.3163780776895,-0.0,-0.0,-26682.65647934961,-9984.159621309083,-10144.443665785404,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
10,-8022.5376,-24714.113633710207,-0.0,-13579.798687040231,-8079.300835705302,-13927.56939176836,-4830.13316376836,-3787.21615176836,-3712.6798557683614,-12944.034631768358,-2023.2844605114042,-0.0,-0.0,-0.0,-0.0,-5143.755200717073,-0.0,-0.0,-20875.389335349617,-10629.4972637203,-12444.319728576378,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
11,-7893.6039599999995,-24599.670031710204,-0.0,-10756.385622665211,-12303.36360939929,-21625.99769176836,-4573.414941768359,-3640.5891717683617,-2542.566287163398,-12157.79731176836,-1817.4092745150033,-0.0,-0.0,-0.0,-463.81401311713745,-4927.48744576836,-0.0,-0.0,-21023.191120349617,-11712.798476998183,-7118.880462439187,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
12,-7893.6039599999995,-24612.843372710206,-208.9250173573568,-6986.455127768359,-12214.378867054711,-21625.99769176836,-4539.348840768359,-3611.04199976836,-0.0,-12076.846471768362,-1103.1389611437974,-0.0,-0.0,-0.0,-3027.05409176836,-0.0,-0.0,-0.0,-20951.715256349617,-12272.246593655464,-8354.867616720614,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
13,-7764.67032,-24518.916424710205,-227.4542486402086,-6986.455127768359,-12056.96129263197,-21625.99769176836,-4403.1041107683595,-3486.52379576836,-0.0,-11767.79679176836,-2026.0515602595178,-0.0,-0.0,-0.0,-0.0,-4927.48744576836,-0.0,-0.0,-20646.376350349616,-13212.677734665169,-9741.43762453868,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
14,-7635.73668,-24612.843372710206,-15.668798029744929,-6986.45512776836,-10494.265867537377,-21625.997691768356,-4716.138445768359,-3838.9379637683596,-0.0,-12324.176301768359,-2505.510599634097,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-20773.710930349618,-15263.553405981314,-10250.032109439187,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
15,-7635.73668,-25118.235527710207,-0.0,-1327.2207741982586,-14795.54916315484,-21625.99769176836,-6522.800486768357,-5819.27814876836,-0.0,-15659.501701768359,-2116.16674344347,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-22406.859106349617,-15197.975878439656,-10250.032109439186,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
