,heat pump Beauly,heat pump Peterhead,heat pump Errochty,heat pump Denny/Bonnybridge,heat pump Neilston,heat pump Strathaven,heat pump Torness,heat pump Eccles,heat pump Harker,heat pump Stella West,heat pump Penwortham,heat pump Deeside,heat pump Daines,heat pump Th. Marsh/Stocksbridge,heat pump Thornton/Drax/Eggborough,heat pump Keadby,heat pump Ratcliffe,heat pump Feckenham,heat pump Walpole,heat pump Bramford,heat pump Pelham,heat pump Sundon/East Claydon,heat pump Melksham,heat pump Bramley,heat pump London,heat pump Kemsley,heat pump Sellindge,heat pump Lovedean,heat pump S.W.Penisula
0,2865.192,9326.44637747493,219.84507758662664,1769.4859455041437,1770.2267558329065,3270.9004719581776,784.8237485854429,416.6954100714026,367.77534872524507,2688.474831406755,1583.655421377151,0.0,0.0,0.0,0.0,367.6355808221747,0.0,0.0,7023.863678845645,4047.362396225152,2583.9856487982534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2865.192,9305.027774219076,219.84507758662653,1769.485945504075,1770.2267558329065,3270.9004719581085,897.814200251216,435.74373567688775,390.2321316347387,2772.7617463109777,1751.5291957679838,0.0,0.0,0.0,984.9976657682562,1028.6225681802066,0.0,0.0,7009.493207750183,3257.7018304633766,2583.985648798253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2865.192,9308.221392326659,247.6729504680295,2258.4874216857415,1770.2267558329065,3270.9004719581085,1022.8930197127511,476.9547956886139,367.7753487252451,3595.053473895311,2093.4542766996956,0.0,0.0,1326.2776170888683,984.9976657682562,1028.6225681802066,0.0,0.0,7016.587526731237,3545.5916911145564,2583.985648798255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2865.192,9352.955164066761,309.81235127708163,2535.9183766854308,1911.9468739094818,4768.561365966184,1190.1953353693048,583.3482493981494,535.2050524516851,4103.352324053026,1831.1680651326292,0.0,0.0,1524.4593224611392,984.9976657682562,1028.6225681802066,0.0,0.0,7101.266738865053,3919.0588910661936,2583.98564879825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2865.192,9367.244131030475,309.81235127708175,2535.91837668543,1911.9468739094818,4768.561365966186,1563.4671851540663,959.9062164623034,736.7899446544777,2772.7617463109777,1850.890598361438,0.0,0.0,3024.6986602237857,1481.8004210447489,1028.6225681802066,0.0,0.0,7358.013891257191,3513.6855853104594,2583.985648798253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2865.192,9796.167501968344,309.81235127708175,2535.91837668543,1911.9468739094818,4768.561365966184,2560.877752583344,2103.4701170871604,1345.417595857351,3595.053473895311,1672.9181789160975,0.0,0.0,2757.3319009792604,1481.8004210447489,2756.7934064494957,0.0,0.0,8436.275733339293,3244.205418793038,4934.330762154682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2865.192,10240.862314713024,2.5893853495298034,1884.254917750896,6335.349135646208,7591.844453735601,0.0,0.0,2168.472276688987,9104.76108489538,753.49174426762,0.0,0.0,0.0,0.0,2756.7934064494957,0.0,0.0,8436.275733339293,3524.9782598830343,2583.985648798253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2865.192,10123.890348915425,106.77036790407742,2115.135171434029,6335.349135646208,6771.602642705288,1022.8930197127513,476.95479568861396,1708.1696434486225,9115.3832864089,814.6192279544789,0.0,0.0,0.0,0.0,2756.7934064494957,0.0,0.0,9732.867583202486,3489.1136365398493,4378.258362404935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2865.192,9662.028257826645,0.0,4588.37692552319,5091.00144234036,5553.5958032259405,3091.0280985604895,2614.3300418202707,1512.262937293508,5642.4513859996005,763.3167458581216,0.0,0.0,0.0,0.0,2756.7934064494957,0.0,0.0,8755.000095122256,3746.477965231468,4103.242312404413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2865.192,9220.341086160935,70.31364259447432,4896.305236345843,2885.4645841804663,4974.131925631558,2230.756235663244,1791.2989274616991,1083.2902905764008,5878.68654246926,787.4000958810827,0.0,0.0,0.0,0.0,1483.599411280468,0.0,0.0,9732.867583202486,3733.7919301829033,3743.3371460462745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
