,heat pump Beauly,heat pump Peterhead,heat pump Neilston,heat pump Eccles,heat pump Walpole
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,-1.0833093975038248,0.0,0.0,0.0,0.0
4,-1.0976874765812155,0.0,0.0,0.0,0.0
5,-1.1066447964403345,0.0,0.0,0.0,0.0
6,-1.1269246369579737,0.0,0.0,0.0,0.0
7,-1.143369157367453,0.0,0.0,0.0,0.0
8,-1.1592990637416145,0.0,0.0,0.0,0.0
9,-1.1798900497989595,0.0,0.0,0.0,0.0
10,-1.199877833109955,0.0,0.0,0.0,0.0
11,-1.218517234213463,0.0,0.0,0.0,0.0
12,-1.2427969269038477,0.0,0.0,0.0,0.0
13,-1.2653678854242496,0.0,0.0,0.0,0.0
14,-1.2899571195800021,0.0,0.0,0.0,0.0
15,-1.3221745773111135,0.0,0.0,0.0,0.0
16,-1.3519272013988397,0.0,0.0,0.0,0.0
17,-1.3910302237764887,0.0,0.0,0.0,0.0
18,-1.4344780264183208,0.0,0.0,0.0,0.0
19,-1.4744617972973604,0.0,0.0,0.0,0.0
20,-1.527179774774845,0.0,0.0,0.0,0.0
21,-1.5755188048243183,0.0,0.0,0.0,0.0
22,-1.6508392281170925,0.0,0.0,0.0,0.0
23,-1.7105170429929855,0.0,0.0,0.0,0.0
24,-1.7894633811033172,0.0,0.0,0.0,0.0
25,-1.8771815345592413,0.0,0.0,0.0,0.0
26,-1.974646149510268,0.0,0.0,0.0,0.0
27,-2.063678384511645,0.0,0.0,0.0,0.0
28,-2.181864871679606,0.0,0.0,0.0,0.0
29,-2.313183190755118,0.0,0.0,0.0,0.0
30,-2.485514631169438,0.0,0.0,0.0,0.0
31,-2.6212138157470584,0.0,0.0,0.0,0.0
32,-2.8013486841633983,0.0,0.0,0.0,0.0
33,-3.037742978284551,0.0,0.0,0.0,0.0
34,-3.223887264399257,0.0,0.0,0.0,0.0
35,-3.515732071956235,0.0,0.0,0.0,0.0
36,-3.7952578577291503,0.0,0.0,0.0,0.0
37,-4.16108431429625,0.0,0.0,0.0,0.0
38,-4.512315904773612,0.0,0.0,0.0,0.0
39,-4.834372918695679,0.0,0.0,0.0,0.0
40,-5.18463623318347,0.0,0.0,0.0,0.0
41,-5.565397902511812,0.0,0.0,0.0,0.0
